b,lesson_id,song_dir,cue_index,speaker,speaker_ja,start,end,joined_start,joined_end,english,japanese,mixed,audio
1,5,05_beginner_tom_b1,1,Teacher Tacos,ティーチャータコス,0.0,3.96,0.0,3.96,Hello! Welcome to Funnics Island.,こんにちは！ファニックス・アイランドへようこそ。,(Teacher Tacos) Hello! Welcome to Funnics Island. 「(ティーチャータコス) こんにちは！ファニックス・アイランドへようこそ。」,audio/phonics/L5/s1.mp3
1,5,05_beginner_tom_b1,2,Teacher Tacos,ティーチャータコス,4.11,8.11,4.11,8.11,Hello! Welcome to Funnics Island.,こんにちは！ファニックス・アイランドへようこそ。,(Teacher Tacos) Hello! Welcome to Funnics Island. 「(ティーチャータコス) こんにちは！ファニックス・アイランドへようこそ。」,audio/phonics/L5/s2.mp3
1,5,05_beginner_tom_b1,3,Teacher Tacos,ティーチャータコス,9.02,10.17,9.02,10.17,What's your name?,あなたの名前は何ですか？,(Teacher Tacos) What's your name? 「(ティーチャータコス) あなたの名前は何ですか？」,audio/phonics/L5/s3.mp3
1,5,05_beginner_tom_b1,4,Teacher Tacos,ティーチャータコス,11.31,12.38,11.31,12.38,What's your name?,あなたの名前は何ですか？,(Teacher Tacos) What's your name? 「(ティーチャータコス) あなたの名前は何ですか？」,audio/phonics/L5/s4.mp3
1,5,05_beginner_tom_b1,5,Tom,トム,12.53,14.76,12.53,14.76,Hi! My name is Tom.,やあ！ぼくの名前はトムです。,(Tom) Hi! My name is Tom. 「(トム) やあ！ぼくの名前はトムです。」,audio/phonics/L5/s5.mp3
1,5,05_beginner_tom_b1,6,Tom,トム,15.68,17.92,15.68,17.92,Hi! My name is Tom.,やあ！ぼくの名前はトムです。,(Tom) Hi! My name is Tom. 「(トム) やあ！ぼくの名前はトムです。」,audio/phonics/L5/s6.mp3
1,5,05_beginner_tom_b1,7,Teacher Tacos,ティーチャータコス,18.07,20.56,18.07,20.56,"Nice to meet you, Tom.",はじめまして、トム。,"(Teacher Tacos) Nice to meet you, Tom. 「(ティーチャータコス) はじめまして、トム。」",audio/phonics/L5/s7.mp3
1,5,05_beginner_tom_b1,8,Teacher Tacos,ティーチャータコス,20.71,23.2,20.71,23.2,"Nice to meet you, Tom.",はじめまして、トム。,"(Teacher Tacos) Nice to meet you, Tom. 「(ティーチャータコス) はじめまして、トム。」",audio/phonics/L5/s8.mp3
1,5,05_beginner_tom_b1,9,Teacher Tacos,ティーチャータコス,24.42,26.36,24.42,26.36,I am Teacher Tacos.,私はティーチャータコスです。,(Teacher Tacos) I am Teacher Tacos. 「(ティーチャータコス) 私はティーチャータコスです。」,audio/phonics/L5/s9.mp3
1,5,05_beginner_tom_b1,10,Teacher Tacos,ティーチャータコス,26.66,28.66,26.66,28.66,I am Teacher Tacos.,私はティーチャータコスです。,(Teacher Tacos) I am Teacher Tacos. 「(ティーチャータコス) 私はティーチャータコスです。」,audio/phonics/L5/s10.mp3
