kanji,top_reading,top_count,alt_readings_json
語,ご,938,"{""かた"": 132}"
由来,ゆらい,913,{}
彼,かれ,727,{}
私,わたし,573,{}
続,つづ,501,{}
見,み,501,"{""けん"": 9}"
新,あたら,405,"{""しん"": 26, ""あら"": 25}"
形式的,けいしきてき,393,{}
退屈,たいくつ,382,{}
時間,じかん,378,{}
人,にん,367,"{""ひと"": 215}"
家族,かぞく,359,{}
大,おお,318,"{""だい"": 25, ""たい"": 1}"
静,しず,313,{}
対,つい,308,"{""たい"": 40}"
英語,えいご,300,{}
彼女,かのじょ,299,{}
前,まえ,294,"{""ぜん"": 17}"
中,なか,280,{}
丁寧,ていねい,271,{}
取,と,259,"{""しゅ"": 1}"
意味,いみ,256,{}
使,つか,252,{}
古,こ,250,"{""ふる"": 200}"
広,ひろ,248,{}
小,ちい,247,"{""しょう"": 13, ""こ"": 2}"
始,はじ,243,{}
手,て,239,{}
朝,あさ,231,{}
長,なが,225,"{""ちょう"": 18}"
立,た,222,{}
声,こえ,220,{}
出,だ,219,"{""で"": 199, ""しゅつ"": 2, ""い"": 1}"
合,あ,210,{}
入,い,210,"{""はい"": 131}"
年,ねん,207,{}
形,かたち,202,{}
家,いえ,200,{}
上,あ,199,"{""うえ"": 115, ""のぼ"": 8}"
子,こ,199,{}
同,おな,198,"{""どう"": 1}"
聞,き,198,{}
深,ふか,198,{}
破棄,はき,198,{}
進,すす,197,"{""すすむ"": 1}"
日,にち,194,"{""ひ"": 120}"
持,も,190,{}
分,ふん,189,"{""わ"": 134}"
向,む,187,"{""こう"": 1}"
気,き,187,{}
高,たか,185,{}
夜,よる,182,{}
地域,ちいき,181,{}
並,なら,178,"{""なみ"": 3, ""な"": 2}"
観客,かんきゃく,177,{}
心,こころ,175,{}
学校,がっこう,173,{}
母,はは,170,"{""かあ"": 8}"
切,き,170,"{""せつ"": 1}"
祖父,そふ,170,{}
本,ほん,169,{}
目,め,169,{}
集,あつ,166,"{""つど"": 5, ""しゅう"": 3}"
書,か,162,"{""かき"": 3}"
自分,じぶん,161,{}
通,とお,161,"{""かよ"": 36, ""つう"": 28}"
多,おお,158,"{""た"": 1}"
整,ととの,158,{}
行,い,157,"{""おこな"": 68, ""ぎょう"": 9, ""おこ"": 3}"
思,おも,157,{}
変,か,157,{}
開,ひら,156,"{""かい"": 1}"
最後,さいご,155,{}
走,はし,154,"{""そう"": 12}"
強,つよ,154,"{""きょう"": 1}"
楽,たの,153,"{""らく"": 15}"
音,おと,153,{}
言葉,ことば,148,{}
込,こ,148,{}
作,つく,147,"{""さく"": 4}"
空,そら,146,"{""あ"": 16, ""す"": 10}"
残,のこ,146,{}
伝,つた,146,"{""でん"": 1}"
重,おも,142,"{""かさ"": 121}"
若,わか,142,"{""じゃく"": 2}"
動,うご,142,"{""どう"": 1}"
名詞,めいし,141,{}
流,なが,141,{}
決,き,139,"{""けっ"": 41}"
祖母,そぼ,138,{}
月,がつ,137,"{""かげつ"": 50, ""なんかげつ"": 2}"
先生,せんせい,136,{}
毎日,まいにち,136,{}
歩,ある,135,"{""あゆ"": 19, ""ほ"": 5}"
止,と,134,"{""や"": 4, ""ど"": 4}"
支,ささ,133,{}
少,すこ,131,"{""すく"": 21, ""ずく"": 1}"
授業,じゅぎょう,131,{}
戻,もど,130,{}
言,い,128,"{""げん"": 7}"
発音,はつおん,125,{}
今,いま,125,{}
呼,よ,124,{}
生徒,せいと,123,{}
大切,たいせつ,122,{}
受,う,121,{}
読,よ,121,{}
練習,れんしゅう,120,{}
忘,わす,120,{}
笑,わら,118,{}
知,し,118,"{""ち"": 2}"
瞬間,しゅんかん,117,{}
選手,せんしゅ,116,{}
写真,しゃしん,116,{}
色,いろ,114,"{""しょく"": 1}"
穏,おだ,114,{}
選,えら,113,{}
確認,かくにん,113,{}
番目,ばんめ,111,{}
増,ふ,111,"{""ま"": 13}"
場,ば,109,{}
現場,げんば,109,{}
水,みず,108,{}
結果,けっか,107,{}
話,はな,107,"{""はなし"": 81}"
父,ちち,107,"{""とう"": 4}"
場所,ばしょ,107,{}
一気,いっき,106,{}
守,まも,106,"{""しゅ"": 5}"
必要,ひつよう,106,{}
直,なお,106,"{""ただ"": 1}"
夏,なつ,105,{}
計画,けいかく,105,{}
食,た,104,"{""しょく"": 6, ""く"": 4, ""は"": 3}"
違,ちが,104,{}
引,ひ,103,{}
終,お,103,{}
