no,word,meaning
1,company,会社
2,department,部門、課
3,several,いくつかの
4,available,利用可能な
5,quite,かなり
6,board,会議体
7,likely,起こりそうな
8,employee,従業員
9,customer,顧客
10,increase,増加させる
11,president,社長
12,same,同じ
13,found,設立する
14,advertisement,広告
15,believe,信じる
16,expensive,高価な
17,due,納期、期限の
18,possible,可能な
19,secretary,秘書
20,amount,量
21,university,大学
22,however,しかし、だけれども
23,survey,調査
24,own,自身の
25,current,現在の
26,though,～だけれども
27,quality,品質
28,purchase,購入する
29,kind,親切な
30,probably,おそらく
31,purpose,目的
32,although,～だけれども
33,mention,言う、言及する
34,present,現在の
35,important,重要な、大切な
36,complete,完了する
37,enough,十分な
38,least,最も少ない
39,passenger,乗客
40,state,言う
41,various,様々な
42,allow,許可する
43,appear,現れる
44,furniture,家具
45,almost,ほとんど
46,government,政府
47,throughout,至るところに
48,contract,契約
49,budget,予算
50,equipment,装置、設備
51,consider,検討する、考える
52,result,結果
53,second,秒
54,prior,優先の
55,entire,全体の
56,completely,完全に
57,vehicle,車両、車
58,begin,開始する
59,recent,最近の
60,popular,人気の
61,conversation,会話
62,notice,知らせる、お知らせ
63,community,共同体
64,cause,引き起こす
65,suggest,提案する
66,modern,近代の
67,union,組合
68,fire,クビにする
69,decide,決定する
70,brochure,パンフレット、小冊子
71,discuss,議論する
72,deal,取引する
73,avoid,避ける
74,construction,建設
75,director,取締役
76,public,公共の
77,extremely,非常に
78,editorial,社説の、編集の
79,reservation,予約
80,advantage,利点
81,address,住所
82,matter,事態
83,immediately,すぐに
84,ancient,古代の
85,unless,～でない限り
86,attend,出席する
87,legal,法的な
88,hardly,ほとんど～ない
89,condition,条件
90,insurance,保険
91,perhaps,おそらく
92,continue,継続する
93,warranty,保証
94,refund,払い戻し
95,famous,有名な
96,whether,どちらか
97,particular,特定の
98,recently,最近
99,common,共通の
100,exactly,正確に
101,finally,ついに
102,accounting,会計
103,period,期間
104,fill,満たす
105,include,含む
106,foundation,基礎
107,neither,いずれもない
108,industrial,工業用の、産業の
109,billboard,看板
110,introduce,導入する、紹介する
111,factor,因子
112,roughly,約、およそ
113,language,言語
114,understand,理解する
115,instead,代わりに
116,approximately,約、おおよそ
117,executive,幹部、重役
118,resume,再開する
119,vice,副
120,truly,真に
121,precious,貴重な
122,seldom,めったに～ない
123,submit,提出する
124,happen,起こる
125,district,地域
126,overall,全体的な
127,region,地域
128,certain,特定の
129,necessary,必要な
130,unique,独特な
131,typical,典型的な
132,banknotes,紙幣
133,accurate,正確な
134,representative,代表者
135,certainly,確かに
136,fairly,かなり
137,application,応募(書類)
