91番。おんがくをきくためにヘッドフォンをりょうほうの ear にあてていたら、ははになんどもよばれていたことにきづかなかった。
92番。おなかがペコペコだったので、めのまえにあったハンバーガーとフライドポテトを15分でぜんぶ eat した。
93番。ちょうしょくにはにわとりがうんだしろい egg をフライパンでやいためだまやききをたべる。からのなかにきみとしろみがはいっている。
94番。わたしのクラスのソフトボールチームには、ピッチャーとキャッチャーをのぞいて、がいやとないやに eight にんいる。りょうてのゆびのかずからゆびを2本おろすとおなじになる。
95番。 eighteen さいになると、にっぽんではせんきょでとうひょうできるようになる。ちゅうがくをそつぎょうしてから6年たったごろのねんれいだ。
96番。クラスのときょうそうで、かれは10人なか eighth でゴールした。かれよりはやかったのは7人だけで、うしろにはあと2人いた。
97番。わたしのおばあちゃんはことしで eighty さいになるが、まいあささんぽをかかさずげんきだ。70歳のそふより10歳としうえで、わたしのねんれいよりはるかにながくいきてきた。
98番。サッカーは1チーム eleven にんでおこなうスポーツ。ピッチにはりょうチームあわせて22人のせんしゅがどうじにはしっている。
99番。きょうはクラスのたんじょうかいで、11月うまれのかれの eleventh のたんじょうびをいわった。10歳のきょねんから1年たって、ロウソクが1本ふえた。
100番。わたしはせかいきょうつうごとよばれる English をしゅう4時間べんきょうしている。アメリカやイギリス、オーストラリアではなされているげんごだ。
101番。なつまつりにゆかたをきてでかけ、やたいのたこやきをたべながら、かぞくとはなびを1時間 enjoy した。
102番。けいさんもんだいをまちがえたので、つくえのうえのしろい eraser でこたえをきれいにけして、かきなおした。えんぴつのじをけすためのぶんぼうぐだ。
103番。がっこうがおわってぶかつをおえたごご6時ごろ、そらがオレンジいろにそまる evening にいえにかえった。1日のうちでゆうひがしずむじかんたいだ。
104番。しゅくだいをわすれたかれは、いぬがたべたとかいえにおいてきたとか、いろいろな excuse をせんせいにならべたが、しんじてもらえなかった。
105番。くらいへやからきゅうにあかるいそとにでると、まぶしくて eye をほそめてしまい、しばらくまえがみえなかった。
106番。あさおきてすぐ、せんめんだいでつめたいみずをつかって face をあらったら、めがいっきにさめてねむけがふきとんだ。
107番。わたしの family はりょうしん、3歳したのおとうと、いぬ1匹のあわせて4人と1匹で、まいしゅうにちようはぜんいんでリビングにあつまってゆうしょくをたべる。
108番。かれは100メートルを11秒ではしりぬける、クラスでいちばん fast なせんしゅだ。2番目のひとでも13秒かかるほどさをつけている。
109番。わたしの father はまいあさ5時におきて、かぞくのためにあさごはんをつくってくれるやさしいひとだ。ははといっしょにわたしをそだててくれたひとだ。
110番。わたしの favorite なたべものはすしで、とくにマグロがだいすきだ。
111番。1年でいちばんさむくてにっすうが28日とみじかいがつ、それが February 。バレンタインデーやせつぶんがあり、コートがてばなせないじきだ。
112番。まいあさおきると、いえでかっているきんぎょに2つぶずつ、いぬには1ふくろのえさを feed することがわたしのやくめだ。
113番。ながいじかんあるいたあと、りょうほうの feet がじんじんいたくなったので、いえにかえってくつをぬいでマッサージした。
114番。つよいかぜがふいたとき、やねのうえにおいてあったうえきばちがとつぜんしたに fell した。にわのいしにぶつかってわれ、つちがちらばった。
115番。なつのよる、じんじゃのけいだいではゆかたをきたひとびとがやたいにあつまり、たいことはなびでもりあがる festival がおこなわれていた。
116番。がっこうのうらにひろがるみどりの field では、ほうかごにサッカーぶがはしりまわり、やきゅうぶがキャッチボールをしている。
117番。きょうのテストは1問1点で、ごうけい fifteen もんもあった。りょうてのゆび10本をつかいきって、さらに5本つかってやっとかぞえられるおおさだ。
118番。ははのさいふをのぞいたら、 fifty えんだまが3枚はいっていた。1枚で100円たまのはんぶんのかちがあり、じはんきではジュースがかえないこうかだ。
119番。かぜをひいていたともだちに「ちょうしはどう?」ときいたら、「もうすっかりなおって fine だよ」とえがおでこたえてくれた。
120番。キャンプできのえだをあつめて、マッチであかい fire をおこし、そのうえでにくをやいた。ねつとひかりをだしてもえるものだ。
121番。かれはきょうのテストで100点をとって、クラス40人のなかで first をとった。うしろにはまだ39人もいたので、ほんにんもとてもよろこんでいた。
122番。わたしのかぞくはりょうしんとあにといもうととわたしの five にんで、まいしゅうにちようのゆうしょくをテーブルをかこんでいっしょにたべる。
123番。ははのひに、かんしゃのきもちをこめて、ははがすきなあかいカーネーションの flower を10本はなやでかってわたした。しょくぶつのさくぶぶんだ。
124番。あきになると、シベリアからにっぽんにむかってツバメやかもなどのとりたちがそらをたかく fly してくる。
125番。さいがいにそなえて、かんづめのツナ、レトルトのカレー、ビスケット、ペットボトルのみずなど、2週間ふんの food をげんかんのたなにびちくしてある。
126番。イギリスでは、まるいボールをあしでけってゴールにいれる football がいちばんにんきのスポーツだ。アメリカではちがうきょうぎをさす。
127番。そふはことしで forty さいになるちちより、ちょうど10歳としうえの50歳。ちちはまだかみはくろく、じんせいのまんなかあたりのねんれいだ。
128番。こうえんのベンチにすわってかぞえたら、めのまえをとおりすぎていくくるまには、たいていタイヤが four ほんついていた。
129番。ちゅうがく2年生は4月うまれだと fourteen さい。ちゅうがく1年生のごろより1つとしうえで、3年生のおにいさんおねえさんより1つとししただ。
130番。かれはがっこうのリレーで、1そうから3そうまでをひきつぐ fourth そうしゃとしてはしり、いきおいそのままにゴールテープをきった。
131番。1週間のなかで Friday はわたしがいちばんすきなひ。つぎのひがどようびでがっこうがやすみなので、よふかししてすきなばんぐみをみられる。
132番。しょうがっこうからなかがよい friend とは、ちゅうがくがちがってもおたがいのいえをいききして、まいしゅうまついっしょにゲームをしてあそんでいる。
133番。クラスでテーマパークにいったひ、ジェットコースターやかんらんしゃにのって1日なか fun なじかんをすごした。
134番。こうえんで、3歳くらいのピンクのドレスをきたちいさな girl がおかあさんとてをつないであるいていた。
135番。ずっとほしかったほんをプレゼントでもらえて、かのじょはとても glad そうなかおをしてなんどもおれいをいった。よろこびのきもちをあらわすよ。
