136番。わたしのことしの goal は、えいごのテストで90点をとることだ。
137番。パラリンピックでおこなわれる goalball というきょうぎは、めかくしをしたせんしゅがおとのなるボールをころがしてあいてのゴールにいれる。
138番。きょうのてんきはあさからくもひとつないあおそらで、うんどうかいをするのにとても good なひになった。
139番。きのう、たんじょうびプレゼントとして、ずっとほしかったゲームソフトをそぼから got した。
140番。ははのちちである grandfather は、ことしで80歳になるが、まいあささんぽをかかさないげんきなひとだ。ちちのちちもおなじよびかただ。
141番。ちちのははである grandmother は、りょうりがじょうずで、わたしがあそびにいくとかならずてづくりのカレーをつくってくれる。ははのははもおなじだ。
142番。あきになると、やおやできょほうやマスカットなどのむらさきやみどりの grape がひとふさ1000円でうられている。
143番。あめがおりそうなひのそらは、あおではなくくもにおおわれたおもい gray になっている。しろとくろのまのちゅうかんのいろだ。
144番。かれはきょうのテストで100点まんてんをとった。クラス40人で1人だけだったので、 great なせいせきだとせんせいからもほめられた。
145番。はるになって、ふゆのあいだはかれていたきぎのえだに、あたらしい green のはっぱがたくさんめふいてきれいだ。しょくぶつのはのいろだ。
146番。たいいくのじゅぎょうで、くつぞこでぎゅっとかためられたちゃいろの ground のうえを、ぜんいんで5しゅうはしった。
147番。りかのじっけんでは、4人ずつ10個の group にわかれて、それぞれがけんびきょうでしょくぶつのさいぼうをかんさつした。あつまったしょうにんずうのまとまりだ。
148番。あにはけいおんがくぶにはいっていて、まいにちほうかごに6本のげんがはられた guitar をかかえて、ゆびでげんをはじいてれんしゅうしている。
149番。わたしの hair はこしまでとどくほどながかったが、なつがきてあつくてしかたなくなり、びよういんでばっさりかたまできってもらった。
150番。ファストフードみせで、まるいパンのまににくとやさいをはさんだ hamburger とコーラをちゅうもんした。
151番。ごめしをたべるまえには、せっけんをつかってりょうほうの hand をしっかりあらうように、ちいさいごろからははになんどもいわれてきた。
152番。きょうのすうがくのテストはふだんよりもんだいすうもおおく、けいさんもふくざつで、クラスのみんなが「 hard だった」とくちぐちにいっていた。
153番。やまのうえそらを、つばさをおおきくひろげたちゃいろの hawk が、ちじょうのしょうどうぶつをねらってゆっくりせんかいしていた。するどいめとくちばしをもつもうきんだ。
154番。じてんしゃにのるときは、ころんだときにのうをまもるため、かならずヘルメットを head にしっかりかぶってはしるようちゅういされている。
155番。よる、ベッドにはいったしゅんかん、となりのへやからちちのおおきないびきを hear して、なかなかねむれずにくろうした。
156番。みちでおもいにもつをもったおばあさんがこまっていたので、こえをかけてえきまでいっしょにはこぶのを help した。
157番。とうきょうスカイツリーはちじょうから634メートルもあり、せかいで2番目に high なたてものとしてゆうめいだ。
158番。あかちゃんがうまれたびょういんで、うまれたばかりのいもうとをはじめてりょううででそっと hold させてもらった。
159番。にわでずっとあそんでいたら、おきにいりのジーンズのひざのぶぶんに5センチものおおきな hole ができてしまった。
160番。5月の holiday はしゅくじつがおおく、3日からのおおがたれんきゅうのおかげでかぞくでおんせんりょこうにいくことができる。がっこうやしごとがやすみになるとくべつなひだ。
161番。ゆうがたになると、そらがくらくなりはじめるごろ、わたしはじぶんの home にもどって、あたたかいゆうしょくをかぞくといっしょにたべる。じぶんがくらしているばしょだ。
162番。きょうの homework は、すうがくのもんだいしゅう3ページと、えいごのたんごノート1ページだ。
163番。あしたのサッカーのしあいはやがいでおこなわれるので、こころのなかで「はれますように」とつよく hope している。
164番。ぼくじょうでは、ちゃいろのけとくろいたてがみをもつおおきな horse が、ひろいそうげんできもちよさそうにくさをたべていた。ひとがのることもあるどうぶつだ。
165番。こうねつがさがらなかったので、ははがくるまでまちのおおきな hospital につれていってくれて、いしのしんさつをうけた。
166番。きょうのさいこうきおんは35どをこえて、エアコンがきかないきょうしつは hot くて、せいとたちはみんなあせだくになっていた。
167番。わたしの house は2階たてで、やねがあかくてにわにはさくらのきがうえてある。
168番。あさごはんをぬいてがっこうにきたので、4時間目にはがまんできないほど hungry になって、おなかがぐうぐうなった。
169番。カレーやヨガでゆうめいなくに、 India はせかいで2番目にじんこうがおおく、ガンジスかわというおおきなかわがながれている。
170番。きのうよみはじめたすいりしょうせつは、はんにんがなかなかわからないストーリーで、さいごまで interesting くてひとばんでよみきってしまった。
171番。1年がはじまる January には、おしょうがつのおいわいやはつもうでなど、さむいなかでもかぞくでがいしゅつするでんとうぎょうじがたくさんある。
172番。わたしたちがすんでいる Japan は、ほっかいどうからおきなわまでなんぼくにほそながいしまくにで、じんこうはやく1おく2せんまんにんだ。アジアのひがしにいちする。
173番。がいこくじんかんこうきゃくにみちをたずねられたが、えいごがはなせなかったので、ジェスチャーをまじえて Japanese でせつめいした。にっぽんでつかわれることばだ。
174番。ちゅうがくににゅうがくして、うんどうとなかまがすきなわたしはサッカーぶに join した。
175番。なつやすみがはじまる July にはうみのひがあり、かぞくでかいすいよくやキャンプにでかけるかていがおおい。
176番。たいいくのじゅぎょうで、りょうあしをそろえてふみきりいたのうえからおもいきり jump して、1メートル50センチのたかさをかるがるとこえた。
177番。つゆのじきにあたる June は、まいにちのようにこさめがおりつづけ、かさをがっこうにおきっぱなしにしているともだちがおおい。
178番。でんしゃでおもいにもつをもったおばあさんにせきをゆずり、おりるときにエレベーターまであんないしてあげたかれは、ほんとうに kind なひとだ。
179番。おしょうがつに、かみとたけでつくったおおきな kite をもってひろいこうえんにいき、いとをひきながらはしってそらたかくとばした。かぜであげるあそびどうぐだ。
180番。かのじょはクラスのみんなのたんじょうびをぜんいん know しているので、だれのたんじょうびがちかいかきけばすぐおしえてくれる。
