226番。ラーメンやにはいって、こむぎこからつくられたほそながい noodle がたっぷりはいったあついしょうゆラーメンをちゅうもんした。
227番。かぜをひいてしまい、 nose からはなみずがとまらず、ティッシュはこがあさからゆうがたまでに2はこもそらになってしまった。
228番。じゅぎょうちゅうは、せんせいがこくばんにかいたことを、ページばんごうじゅんに notebook にていねいにかきうつすことがたいせつだ。もじをかくためのとじられたかみのそくだ。
229番。あきがふかまる November には、がいろじゅのはがあかやきいろにいろづき、よるはぐっとひえこんで、だんぼうがひつようになってくる。
230番。がっこうのしゅっせき number は、なまえの50おんじゅんに1から30まできめられていて、わたしは12番だ。
231番。あきがふかまる October には、スポーツのひがあり、うんどうかいやぶんかさいががっこうでひらかれて、そらがますますたかくかんじられる。
232番。ちちはまいあさ7時にいえをでて、でんしゃで1時間かけてしんじゅくのビルにあるかいしゃの office につうきんしている。つくえがならんでひとがはたらくばしょだ。
233番。わたしはしゅうに3〜4回、ほうかごにこうえんでともだちとサッカーをしてあそぶ。1週間ではんぶんいじょうのひは、 often ゆうがたまでそとでボールをけっている。
234番。かがみをみたら、かみのけがぼさぼさだったので、おもわず「 oh !」とこえをだしておどろいた。きもちがうごいたときにおもわずでることばだ。
235番。そふがたいせつにしているこのくろいとけいは、50年ぜんからつかっているとても old なものだ。
236番。1年生になるまえのわたしには、おじいちゃんにかってもらったテディベアの「クマちゃん」という one つだけのたいせつなたからものがあった。
237番。がっこうがあつかったので、きょうしつのみなみがわにある3つのまどをぜんぶ open して、そとのかぜをなかにいれた。
238番。ゆうぐれのそらは、たいようがしずむにしがわだけがあかときいろのまじったあざやかな orange にそまっていた。
239番。ちゅうがくせいになって、ようやくおやとあにとわけない、じぶん1人だけの own のへやをもてるようになった。
240番。うえのどうぶつえんでにんきのしろとくろのけをした panda は、ささを1日に20キロもたべる、ちゅうごくにすむおおきなどうぶつだ。
241番。がいこくのひととはなしていて、あいてのえいごがはやくちでききとれなかったので、「 pardon ?」とききなおしてもういちどいってもらった。
242番。がっこうのこんだんかいには、ちちとははのりょうほうの parent がきてくれて、せんせいからわたしのせいせきやたいどについてはなしをきいていた。
