追補1番。そぼははなのしゃしんとみじかいにっきをのせる blog をつづけていて、どくしゃからまいにちコメントがとどく。
追補2番。4月のにゅうがくしきのごろ、こうもんのさくらの blossom がまんかいになり、はなびらがまうなかをしんにゅうせいがあるく。
追補3番。はるになると、かわぞいの cherry なみきがいっせいにさいて、どてははなみのにんでいっぱいになる。
追補4番。かのじょはがくねんテストで fifth のせいせきだった。かのじょよりうえのにんは4人しかいなかったことになる。
追補5番。ピアノのせんせいは、10本の finger がそれぞれべつのいきもののようにけんばんのうえをうごかす。
追補6番。かのじょはすいそうがくぶで flute をたんとうしている。ぎんいろのほそいかんをよこにかまえ、すんだたかいおとをひびかせる。
追補7番。あたらしいくつが foot にあわず、かかとにくつずれができて、かえりみちはそっとあるくしかなかった。
追補8番。ゆきのほっかいどうで、ふさふさのしっぽをした fox が、はたけのわきをすばやくよこぎっていった。
追補9番。あめのひのたいいくは gym でおこなう。バスケットコート2めんふんのひろさに、バレーのネットもはれる。
追補10番。うみぞいの industrial なちたいには、せいてつしょやかがくこうじょうのえんとつがなんぼんもたちならんでいる。
追補11番。ソファにすわると、ねこがすかさず lap のうえにのってきて、まるくなってねむってしまった。
追補12番。かぜのきせつは、せきがでたら mask をつけて、まわりにうつさないようにする。
追補13番。よるのもりで owl がホーホーとないた。くびをぐるりとまわして、くらやみでもおおきなめでえものをさがす。
追補14番。うんどうかいのさいごの race はクラスたいこうリレーで、ぬきつぬかれつのてんかいにおうえんせきがわいた。
追補15番。にっぽんにはしゅんかしゅうとうの4つの season があり、3かかげつごとにけしきもふくそうもいれかわる。
追補16番。ふだんはじぶんでべんとうをつくるが、ねぼうしたにちなど sometimes はこうばいのパンですませることもある。
追補17番。「さいごまであきらめない spirit をみせてくれた」と、かんとくはまけたチームをまっすぐほめた。
追補18番。ゴールまえの100メートルでかれは sprint にきりかえ、2人をいっきにぬきさった。
追補19番。すいそうの turtle は、こうらをせおったままゆっくりあるき、いしのうえでにっこうよくをするのがにっかだ。
追補20番。オリンピックのひょうしょうしきで、きんメダリストのユニフォームには U.S.A. の3もじがほこらしげにならんでいた。
追補21番。しゅうまつのかいがんせいそうには100人の volunteer があつまり、ほうしゅうはなくてもみないきいきとはたらいていた。
