1番。めざましとけいを6 a.m. にセットした。なったとき、そとはまだうすぐらく、たいようがのぼりはじめたばかりだった。
2番。けいかくをたてるだけではなにもかわらない。そうじでもべんきょうでも、まず action をおこすことがたいせつだとせんせいがいった。
3番。あのえいがのしゅやくをえんじた actor は、かなしいばめんでほんとうになみだをながしていて、えんぎとはおもえないほどだった。
4番。さんすうでさいしょにならうのは、2+3=5のような addition だ。つぎにひきざん、そのあとにかけざんをまなぶ。
5番。えいがかんのりょうきんひょうには、こども800円、 adult 1800円とかいてあった。18歳いじょうはこちらのりょうきんになる。
6番。おとうとはかみなりが afraid で、ゴロゴロとおとがなりはじめると、いそいでふとんのなかにもぐりこんでしまう。
7番。1回めのさかあがりはしっぱいした。でもあきらめずに again ちょうせんしたら、2回めではじめてせいこうした。
8番。ぶんかさいのだしものをきめるはなしあいで、おばけやしきというあんに、クラス30人なか28人が agree した。
9番。あさのやまの air はつめたくてすんでいて、しんこきゅうするとむねのなかまできれいになるきがした。
10番。テストは100点まんてんなか98点で、 almost まんてんだった。さいごの1問だけけいさんミスをしてしまった。
11番。たいいくさいでかれは、はしりたかとびびでじぶんのしんちょうよりたかいバーをとびこえた。かんきゃくぜんいんがたちあがるほど amazing なきろくだった。
12番。おとうとがわたしのケーキをかってにぜんぶたべてしまったので、さすがに angry になって、こえをあらげてしまった。
13番。「こまったことがあったら anytime でんわしてね。あさでもよなかでもかまわないから」とそぼがいってくれた。
14番。あさ8時にいえをでて、でんしゃとバスをのりついで、10時ちょうどにもくてきちのはくぶつかんに arrive した。
15番。かれのゆめは astronaut になって、ロケットでうちゅうステーションにいき、ちきゅうをまどからながめることだ。
16番。けったボールがさかみちをころがって、20メートルも away にいってしまい、とりにはしるのがたいへんだった。
17番。せんげつ、いとこのいえに baby がうまれた。まだくびもすわっていなくて、ミルクをのんではねむるのをくりかえしている。
18番。きょうはあさからあめで、かさもわすれて、テストもかえってきて30点だった。ほんとうに bad ないちにちだった。
19番。たいそうのへいきんだいでは、りょううでをさゆうにひろげて balance をとりながら、こまいだいのうえをゆっくりあるく。
20番。いえにかえってすぐ、おゆをためた bathroom で1日のあせをながした。かがみがゆげでまっしろになった。
21番。なつやすみにかぞくでうみへいき、しろいすなの beach でかいがらをひろったり、すなのおしろをつくったりしてあそんだ。
22番。れいとうこにいれておいたジュースが、ひとばんでこおってシャーベットに became した。
23番。かのじょのゆめは、びょうきのどうぶつをなおすじゅういに become することだ。そのためにまいにちりかをねっしんにべんきょうしている。
24番。よる11時になると、わたしは2階の bedroom にあがり、ベッドにはいってでんきをけす。
25番。「ぜったいにゆうしょうできる」とキャプテンはいった。れんしゅうをまいにちみてきたわたしたちは、そのことばを believe している。
26番。かれはがくねん200人のなかで best のせいせきをとった。2位に10点のさをつけてのどうどうの1位だった。
27番。きのうはねつが38どあったが、きょうは37どまでさがってしょくよくもでてきた。たいちょうはきのうよりあきらかに better だ。
28番。せかいのじんこうはやく8 billion にんといわれる。1おくの80ばい、にっぽんのじんこうの60ばいいじょうにあたるかずだ。
29番。ちちのしょさいにはてんじょうまでとどくおおきな bookcase があり、しょうせつやずかんが500冊いじょうならんでいる。
30番。そのえいがは2時間ずっとおなじばめんのくりかえしで、あまりに boring でとちゅうでねむってしまった。
31番。わたしは2013年のはるに、さくらがまんかいのにちにこのまちのびょういんで born した、とははがよくはなしてくれる。
32番。しゅくだいにしゅうちゅうしたいのに、おとうとが5分おきにはなしかけてきて bother するので、なかなかすすまなかった。
33番。うっかりおとしたコップがゆかにあたって、こなごなに break してしまった。はへんをあつめるのがたいへんだった。
34番。カーテンをひらけると、あさの bright なひさしがへやいっぱいにさしこんで、おもわずめをほそめた。
35番。あしたのちょうりじっしゅうにはエプロンとさんかくきんを bring するように、かていかのせんせいかられんらくがあった。
36番。こうちゃをごごにたのしむしゅうかんや、2階たてのあかいバスは、 British なぶんかとしてよくしられている。
37番。サッカーボールがまどにちょくげきして、ガラスを broke してしまった。ちちといっしょにあやまりにいった。
38番。かれはえんそくに、かぞく4人ふんはありそうなおおきなおかしのふくろを brought して、みんなにわけてくれた。
39番。あきちにじゅうきがあつまって、これから3階たてのあたらしいとしょかんを build するこうじがはじまるらしい。
40番。このじんじゃはいまから400年まえに built されたもので、まちでいちばんふるいもくぞうのおどうとしてたいせつにまもられている。
41番。かいいぬがほねをくわえてにわのすみにいき、まえあしであなをほって bury して、うえからつちをかけてかくした。
42番。テストまえの1週間は、じゅくとぶかつとしゅくだいがかさなって、よるごめしをゆっくりたべるじかんもないほど busy だ。
43番。ゆうはんができたよ、とははがかいだんのしたからおおきなこえでわたしのなまえを call した。
44番。せかいいさんのアンコールワットでゆうめいな Cambodia は、タイとベトナムにはさまれたとうなんアジアのくにだ。
45番。たんじょうびにともだちから、おもてにはなのえ、なかにメッセージがかかれたてづくりの card をもらってうれしかった。
