46番。そぼはにわのバラをまいあさ care している。みずをやり、かれたはをとり、むしがついていないかたしかめる。
47番。なつやすみにかわで、あみをつかってちいさなさかなを3匹 caught した。バケツにいれてしばらくかんさつしてからにがした。
48番。いまは21 century だ。100年ごとのくぎりで、2001年から2100年までがこのきかんにあたる。
49番。「あしたのしあい、おうえんにきてくれる?」ときくと、かれは「 certainly 、かならずいくよ」とまよわずそくとうした。
50番。リレーのせんしゅをきめるじゃんけんにまけて、しゅつじょうの chance をのがした。つぎのたいいくさいまで1年まつしかない。
51番。りかのじゅぎょうで、1かかげつのきおんのへんかをおれせんの chart にまとめた。あがりさがりがひとめでわかる。
52番。いえをでるまえに、ハンカチ・ティッシュ・かぎがそろっているか、カバンのなかを check するのがまいあさのしゅうかんだ。
53番。こうえんのすなばでは、5、6歳くらいの children が3人、バケツとスコップでやまをつくってあそんでいた。
54番。きゅうしょくのデザートは、プリンかゼリーかフルーツの3つから1つをえらぶ。きょうのわたしの choice はプリンだった。
55番。ほんやで1時間なやんだまつ、たなにならんだ10冊のなかから、ひょうしがいちばんきにはいった1冊を choose した。
56番。そふのすむむらにはしんごうが1つしかないが、わたしのすむ city にはたかいビルがならび、でんしゃも5ろせんはしっている。
57番。たいふうがすぎたよくあさ、そらはくもひとつなく clear で、とおくのやまのりょうせんまでくっきりみえた。
58番。きょうしつのまえのかべにはまるい clock がかかっていて、じゅぎょうちゅうついなんどもちらちらみてしまう。
59番。あおそらにめんあめのようなしろい cloud がぽっかりうかんでいて、かたちがいぬにみえたりふねにみえたりした。
60番。てんきよほうによると、あしたはいちにちじゅう cloudy で、たいようはみえないがあめもふらないらしい。
61番。12月にはいってあさのきおんが5どをしたまわったので、クローゼットからあつでの coat をだしてきていった。
62番。けさはひょうてんか2どまでさがり、いけにこおりがはるほど cold かった。いきがしろくなり、てがかじかんだ。
63番。かれのへやのほんだなには、にんきシリーズの comic が1巻から70巻までぜんぶそろっている。
64番。「さとう」はにっぽんでとても common なみょうじで、わたしのクラスにも3人、がくねんぜんたいでは12人もいる。
65番。ことばがつうじないくにでも、みぶりてぶりとえがおがあれば、あいてと communicate することはできる。
66番。すきなかしゅの concert にはじめていった。1まんにんのかんきゃくといっしょにうたった2時間は、あっというかんだった。
67番。1時間のはなしあいのまつ、ぶんかさいのだしものはげきにする、という conclusion にクラスぜんいんでたどりついた。
68番。ピアノは5歳ではじめて、やめたくなったじきもあったが、いまもしゅう1回のレッスンを continue している。
69番。24時間ひらいていて、おにぎりもぶんぼうぐもでんちもかえる。 convenience ストアはそのめいのとおりのみせだ。
70番。あたらしいいえはえきまであるいて3分、スーパーまで1分で、かいものにもつうがくにもとても convenient だ。
71番。まなつのひるでも、きかげにはいるとかぜが cool できもちいい。あせがすっとひいていく。
72番。さむいあさ、ははがあたたかいココアをしろい cup にそそいでくれた。りょうてでつつむとゆびさきまであたたまった。
73番。ちょうりじっしゅうで、ほうちょうをつかってキャベツをこまく cut した。ゆびをきらないよう、ねこのてでおさえた。
74番。かのじょはプロの dancer をめざして、しゅう5日スタジオにかよい、かがみのまえでなんじかんもステップのれんしゅうをしている。
75番。がけのてまえに「このさき danger 、たちいりきんし」というあかいかんばんがたっていたので、ひきかえした。
76番。プリントのみぎうえにきょうの date をかくらんがある。6月10日なら「6/10」ときにゅうする。
77番。サッカーぶとやきゅうぶで1かかげつなやんだが、たいけんにゅうぶをへて、さいしゅうてきにサッカーぶにはいると decide した。
78番。そのえいがのラストシーンに deeply かんどうして、エンドロールがおわってもせきをたてなかった。
79番。そぼがたいてくれたくりごはんは delicious で、おかわりを2回もしてしまった。
80番。あまいものをたべすぎておくばがいたくなり、 dentist にいってむしばを1本ちりょうしてもらった。
81番。じぶんのへやの desk には、きょうかしょをたてるたなとひきだしが3つついていて、まいばんそこでしゅくだいをする。
82番。3年間たいせつにそだてたきんぎょが、あるあさすいめんにうかんで die していた。にわにうめて、ちいさなはかをつくった。
83番。ふたごのしまいだが、あねはうんどうがとくいでいもうとはえがとくいと、せいかくもしゅみもまったく different だ。
84番。さいごのもんだいはクラスで2人しかとけなかったほど difficult で、せんせいも「せいかいしたにんはすごい」といった。
85番。わがやでは、ちょうしょくもゆうしょくもかぞくそろって dining ルームのおおきなテーブルでたべることにしている。
86番。このでんしゃはとちゅうのえきにとまらず、のりかえなしでそらみなとまでいける direct びんだ。30分はやくつく。
87番。えいがの director は、カメラのいちやはいゆうのえんぎにこまかくしじをだし、さくひんぜんたいをしあげるせきにんしゃだ。
88番。こうねつが3日さがらずびょういんへいくと、 doctor がちょうしんきをあててのどをみて、くすりを5日ぶんしゅつしてくれた。
89番。すいぞくかんのショーで、 dolphin がすいめんから5メートルもジャンプして、わをみごとにくぐりぬけた。
90番。さくやはそらをとぶ dream をみた。くものうえをどこまでもすすんでいて、めざましのおとでめがさめてがっかりした。
