91番。いとこのけっこんしきで、はははふだんぎないうすいみずいろの dress をきて、かみもびよういんでセットしてもらっていた。
92番。かぜくすりとばんそうこうとシャンプーをかいに、えきまえの drugstore へいった。くすりいがいのひようひんもうっている。
93番。うちゅうからみた earth はあおくかがやいていて、ひょうめんの7わりをしめるうみのいろなのだとりかでならった。
94番。よなかにおおきな earthquake があり、たなのほんがゆかにおちた。ゆれは30秒ほどでおさまった。
95番。きょうのしゅくだいはけいさんドリル1ページだけで、10分でおわるほど easy だった。
96番。おかしのはこをひらけたらなかは empty で、おとうとがさいごの1枚までたべてしまったあとだった。
97番。なつやすみも8月31日でついに end をむかえる。のこったしゅくだいをまえに、しょにちからやればよかったとまいとしおもう。
98番。あさごはんをしっかりたべると、ごぜんちゅうのじゅぎょうもたいいくものりきる energy がからだにわいてくる。
99番。はしやトンネルのせっけいをする engineer になりたくて、かれはすうがくとりかをとくにがんばっている。
100番。えんそくのおやつは300円まで。チョコとガムとあめをかったら、ちょうどよさんないに enough おさまった。
101番。たいいくさい、ぶんかさい、がっしょうコンクール。2学期はおおきな event が3つもつづくので、まいしゅうどこかでれんしゅうがある。
102番。らいしゅうのげつようから3日間、5きょうかのきまつ exam がある。こんしゅうはぶかつもやすみになり、ほうかごはみなまっすぐかえる。
103番。せんせいはあたらしいぶんぽうをせつめいしたあと、「 example を3つあげるね」といって、こくばんにぐたいてきなぶんをかいた。
104番。あしたはずっとたのしみにしていたゆうえんち。 excited しすぎて、よるベッドにはいってもなかなかねつけなかった。
105番。9回うらにぎゃくてんサヨナラホームランがでる、さいごまでめがはなせない exciting なしあいだった。
106番。ほしいゲームきは5まんえんもして、おとしだまをぜんぶあわせてもたりないほど expensive だ。
107番。すうがくがとくいなともだちは、わたしがとけなかったもんだいのときほうを、ずをえがきながらじゅんばんに explain してくれた。
108番。このおんせんがいは300年のれきしがあり、ぜんこくからねんかん100まんにんがおとずれるほど famous だ。
109番。きんじょの farmer は、あさ5時からはたけにでてトマトとナスをそだて、しゅうかくしたものをちょくばいところでうっている。
110番。びじゅつかんのにゅうじょう fee はおとな1200円だが、ちゅうがくせいは400円、しょうがくせいいかはむりょうだった。
111番。よみちをあるいていると、だれかにうしろからみられているように feel して、おもわずふりかえってしまった。
112番。そつぎょうしきでは、うれしさとさびしさがまざったふしぎな feeling になり、むねがいっぱいだった。
113番。ゲームのじゅんばんをめぐっておとうとと fight になり、ははに「2人ともきょうはきんし!」ととりあげられてしまった。
114番。そふのわかいごろのカメラは、とった film をしゃしんやにもっていってげんぞうするまで、うつりがわからなかったそうだ。
115番。わたしたちのチームはトーナメントをかちすすみ、ついに final せんまできた。つぎにかてばゆうしょうだ。
116番。1週間まえになくしたけしゴムを、ロッカーのおくでようやく find した。ほこりをはらってまたつかっている。
117番。すいぞくかんのだいすいそうでは、ぎんいろの fish がなんびゃくひきもむれになって、おなじほうこうにゆったりおよいでいた。
118番。くらいたいいくかんでしゅうごうしゃしんをとったら、カメラの flash がいっしゅんひかって、めのまえがしろくなった。
119番。ぎゅうにゅうをこぼしてしまい、 floor がしろいみずたまりになったので、いそいでぞうきんでぬぐいた。
120番。たいふうのかぜの force はすさまじく、えきまえのおおきなかんばんがねもとからたおれてしまった。
121番。けさはいそいでいて、げんかんにおいておいたすいとうをそのまま forget してきてしまった。いちにちじゅうのどがかわいた。
122番。ともだちのたんじょうびをかんぜんに forgot していて、よくじつにきづいてあわてて「おめでとう、1日おくれてごめん!」とあやまった。
123番。このはくぶつかんはまいげつだい1日ようびだけにゅうじょうが free になるので、そのひはいつもかぞくづれでこんでいる。
124番。ぶかつからかえるとまず fridge をひらけて、ひえたむぎちゃをコップにそそいでいっきにのむのがなつのひかだ。
125番。せのじゅんでならぶと、わたしはクラスで2番目にちいさいので、いつもれつのいちばん front のほうになる。
126番。しょくごのデザートに、りんご・バナナ・ぶどうをきってもりあわせた fruit のさらがでてきた。
127番。たべほうだいでちょうしにのって5さらもたべたら、おなかが full になって、デザートがいらなかった。
128番。 future のじぶんへ、とかいたタイムカプセルのてがみを、20歳になったらひらけるやくそくでこうていにうめた。
129番。きょうのサッカーの game は2つい2のままえんちょうせんまでもつれ、さいごはPKせんでやっとけっちゃくがついた。
130番。そぼのいえの garden には、バラとひまわりがうえられ、すみにはちいさないけまでつくってある。
131番。たんじょうびにそふがわたしにとしょカードを gave した。さっそくほんやへいって、ぜんからよみたかったしょうせつとこうかんした。
132番。ははのひの gift に、あねと2人でおかねをだしあってエプロンをかい、リボンをかけててわたした。
133番。きおんのじょうしょうは1つのくにだけではかいけつできない、せかいじゅうがかかわる global なもんだいだとしゃかいかでまなんだ。
134番。ゆきがふったあさ、けいとの glove をはめてとうこうしたのに、ゆきだまをつくっていたらゆびさきまでびしょぬれになった。
135番。ベランダのプランターでミニトマトを grow している。たねからめがでて、2かかげつでみがあかくなった。
