226番。なつやすみしょにちに、しゅくだいを7月なかにおわらせる plan をたてた。1日2ページずつすすめるけいさんだ。
227番。そらみなとのてんぼうデッキから、 plane がかっそうろをかそくして、ふわりとそらにうかぶしゅんかんをみた。
228番。きょうしつのまどぎわにはちうええの plant をおいている。にっこうにむかってはがのび、しゅう2回のみずやりはにっちょくのしごとだ。
229番。しょくじのあと、テーブルの plate をおもねてだいどころへはこび、スポンジであらってみずきりかごにふせた。
230番。バスケのしあいは58つい55、わずか3 point さでわたしたちのチームがかった。さいごの1分はいきもできなかった。
231番。フグのないぞうにはつよい poison がふくまれていて、めんきょをもつちょうりしでなければちょうりしてはいけない。
232番。じてんしゃのとうなんにあったので、もよりのこうばんで police にとどけでをだした。3日のち、となりまちでみつかった。
233番。こうじょうのはいすいによるかわの pollution がすすみ、むかしはたくさんいたさかながほとんどみられなくなったという。
234番。そのものがたりのしゅじんこうは、パンをかうおかねもないほど poor なしょうねんだったが、どりょくをおもねていしゃになった。
235番。おおきな pot でカレーをつくると、かぞく4人でたべても2日ふんはある。2日めのほうがあじがしみておいしい。
236番。たいふうでそうでんせんがきれ、まちぜんたいの power がとまった。れいぞうこもエアコンもつかえないよるをはじめてけいけんした。
237番。いぬとねこ、どちらもかわいが、わたしはしずかによりそってくれるねこのほうを prefer する。
238番。そうごうのじかんに、しらべたくにについてスライドをつかって presentation をした。こえのおおきさとめせんにきをつけた。
239番。まいしゅうにちようのよるは、かぞくそろってどうぶつのせいたいをおう program をみる。こんしゅうはペンギンのとくしゅうだった。
240番。「つぎのテストで80点をとったらあたらしいじてんしゃね」とははと promise した。ゆびきりまでした。
241番。ヘルメットは、ころんだときにあたまを protect するためのそうびだ。あごひもまでしっかりしめていみがある。
242番。としょかんやこうえんのような public なばしょは、みんなのものだから、だれもがきもちよくつかえるようにマナーをまもる。
243番。れんしゅうをさぼったぶいんを、こもんはグラウンド10しゅうで punish した。つぎのひからはだれもちこくしなくなった。
244番。ゆうぐれのそらは、オレンジからすこしずつ purple にかわり、さいごはよるのあいいろにとけていった。
245番。かのじょはけいさんがとても quick で、わたしが1問とくまに3問おわらせてしまう。
246番。はたけからぬいたばかりの radish は、はがあおあおとしてねがしろくふとい。おでんにいれるとあじがしみてやわらかくなる。
247番。えんそくのあさ、そらから rain がおりだした。てるてるぼうずのねがいもむなしく、いきさきはたいいくかんにへんこうになった。
248番。6月の rainy なきせつには、げんかんにいつもかぞくぜんいんのかさがほしてあり、くつもなかなかかわかない。
249番。はくぶつかんにてんじされていたきょうりゅうのほねは、レプリカではなく1おくねんまえの real なかせきだとせつめいしょきにあった。
250番。ちこくした reason をきかれて、「でんしゃがじこで20分とまったからです」とちえんしょうめいしょをみせた。
251番。そぼのにくじゃがの recipe には、ざいりょうのぶんりょうからにこむじかんまで、てじゅんがこまかくかかれている。
252番。かじでこうしゃはやけてしまったが、れんがづくりのもんだけは100年まえのすがたのまま remain している。
253番。しょうがく1年のたんにんのせんせいのかおとこえは、5年たったいまでもはっきり remember している。
254番。くつのうらについたガムを、わりばしをつかってなんとか remove した。きれいにとれるまで5分かかった。
255番。かわのなかすにとりのこされたこねこを、しょうぼうたいいんがボートでちかづいてぶじに rescue した。
256番。まいあさだれよりはやくきてれんしゅうし、こうはいにもていねいにおしえてくれるせんぱいを、ぶいんぜんいんが respect している。
257番。なまえをよばれたら、すぐに「はい」と respond するように、にゅうがくしきのれんしゅうでなんどもかくにんした。
258番。としょかんでかりたほんは、2週間いないにカウンターへ return するきまりだ。きげんをすぎるとつがかりられない。
259番。はつひのでをみるためにやまにのぼった。すいへいせんからたいようがゆっくり rise すると、そらがきんいろにそまった。
260番。いえのまえの road はつうがくろになっていて、あさ8時になるときいろいぼうしのしょうがくせいがぞろぞろあるいていく。
261番。こうじょうけんがくで、アームをせいかくにうごかしてぶひんをくみたてる robot が、やすまずはたらきつづけるのをみた。
262番。さかみちでボールをおとしてしまい、ころころと10メートルも roll していくのをあわてておいかけた。
263番。としょしつには「いんしょくきんし」「しごはこごえで」という2つの rule があり、いりぐちにおおきくはりだされている。
264番。とりいのさきはかみさまのいる sacred なばしょとされるので、さんどうのまんなかをさけてはじをあるくにんもおおい。
265番。てんこうするしんゆうをえきまでみおくったかえりみち、もうまいにちあえないのだとおもうと sad でなみだがでた。
266番。せきがえをしたのに、となりのせきはまたかれだった。3回れんぞくで same ならびになるかくりつはそうとうひくいはずだ。
267番。キャンプファイヤーをかこんで、ぜんいんでこうかとポップスを3曲 sang した。よるそらにこえがひびいた。
268番。すいぞくかんの seal は、つるんとしたからだでこおりのうえをすべり、しいくいんのあいずでまえひれをパタパタふった。
269番。なつまつりのやたいで several のみせをまわり、たこやき、かきこおり、りんごあめの3つをかってたべあるいた。
270番。ふろばの shampoo がきれていたので、あわだつかみのままかぞくにあたらしいつめかえをもってきてもらった。
