271番。カレーのしずくがしろい shirt のむなもとにはねて、シミになるまえにいそいでみずでたたきあらいした。
272番。しゅうまつはははと shopping にでかけ、スーパーでしょくざいを、となりのみせでわたしのくつしたをかってかえった。
273番。あさからねつが38どあり、 sick でがっこうをやすんだ。1日なかふとんでねむり、ゆうがたにやっとねつがさがった。
274番。おうだんほどうをわたって、とおりのはんたい side にあるパンやまでいった。こちらがわからはやきたてのかおりがする。
275番。みちのいりぐちに「こうじちゅうにつきとおりぬけできません」という sign がたっていて、とおまわりするしかなかった。
276番。テストがくばられると、それまでざわついていたきょうしつがいっしゅんで silent になり、えんぴつのおとだけがきこえた。
277番。ここはむかしのしろがあった site で、いまはいしがきだけがのこり、こうえんとしてせいびされている。
278番。きょねんかったくつがきつくなったので、ひとつうえの size にかいかえた。あしは1年で1センチのびていた。
279番。あしたはあさ5時おきなので、こんやはいつもより2時間はやくふとんにはいって sleep することにした。
280番。さくやおそくまでほんをよんでいたせいで、5時間目のじゅぎょうちゅうは sleepy で、まぶたがなんどもおちかけた。
281番。かめのあゆみはとても slow で、ろうかのはじからはじまですすむのに10分いじょうかかった。
282番。しょうじょうをうけとったかのじょは、きんちょうがほどけたのか、きゃくせきにむかってにっこり smile した。
283番。あさおきてカーテンをひらけると、ひとばんで20センチの snow がつもり、まちぜんたいがしろいっしょくになっていた。
284番。 snowy なひのつうがくは、すべらないようにいっぽずつふみしめてあるくので、いつものばいのじかんがかかる。
285番。そふのそふはせんそうで soldier としてせんちにおくられたと、ぶつだんのふるいしゃしんをまえにそふがはなしてくれた。
286番。よるのしずけさのなか、とおくからふみきりの sound がかすかにきこえてくる。カンカンというきそくただしいひびきだ。
287番。ロケットはたいきけんをぬけ、ほしがまたたくまっくらな space へととびだしていった。
288番。なつやすみのさいしゅうびは、しゅくだいのおいこみにまるいちにちを spend した。あさ9時からよる9時までつくえのまえにいた。
289番。ちょうれいでこうちょうせんせいが、そうりつ100年のれきしについて10分ほど spoke した。
290番。えいごはせかいの80いじょうのくにで spoken されていて、ぼごでないにんどうしのきょうつうごにもなっている。
291番。うわさは1日でがくねんなかに spread して、よくあさにはとなりのクラスのにんまではなしかけてきた。
292番。5まんにんしゅうようの stadium はまんいんで、ゴールがきまったしゅんかん、じなりのようなかんせいがきゃくせきをつつんだ。
293番。ゆうえんちでみちにまよったら、せいふくをきた staff がちずをささしながら、かんらんしゃまでのいきほうをおしえてくれた。
294番。キャンプばのよるそらには、まちではみえないちいさな star までむすうにかがやいていて、あまのがわもはっきりわかった。
295番。まちあわせはあさ9時に station のかいさつまえ。でんしゃがつくたびに、にんのなみがどっとはきだされてくる。
296番。なつやすみにそふぼのいえへいき、1週間 stay した。あさははたけをてつだい、よるはえんがわではなびをした。
297番。あかちゃんがはじめてじぶんのあしで1 step をふみだし、よろけながらもう1ほすすむと、かぞくなかがはくしゅした。
298番。えきまえのぶんぼうぐの store で、ノート2冊とけしゴムをかった。レジのよこにはしんせいひんのペンがならんでいた。
299番。「このみちを straight に200メートルすすむと、みぎてにゆうびんきょくがみえますよ」とみちをおしえてもらった。
300番。「つくえのうえの stuff をぜんぶかたづけてからテストをはじめます」といわれ、ふでばこいがいをカバンにしまった。
301番。おなじだいざいでも、すいぼくがとあぶらえではえがきほうの style がまったくちがい、うけるいんしょうもかわる。
302番。ホットケーキのきじに sugar をおおさじ2杯いれると、やきあがりがほんのりあまくなる。
303番。いきさきがきまらないわたしたちに、せんせいは「ちかくのかがくかんはどう?」と suggest してくれた。
304番。つゆのあいまにひさしぶりに sun がかおをだし、せんたくものがごぜんちゅうだけでカラッとかわいた。
305番。このこうかはそうりつから100年間、まいとしのにゅうがくしきとそつぎょうしきで sung されてきた。
306番。えんそくのあさはくもひとつない sunny なてんきで、てるてるぼうずをつくったかいがあった。
307番。ゆうがたの supermarket はかいものきゃくでにぎわい、おそうざいコーナーにはわりびきシールがはられはじめていた。
308番。なつのうみで、ボードにのってなみにいどむにんたちが surf していた。おおきななみにのれるとかんせいがあがった。
309番。きょうしつのドアをひらけたらぜんいんがクラッカーをならし、たんじょうびをいわってくれた。しんぞうがとまるかとおもうほど surprised した。
310番。あのちいさな1年生が、6年生をぬいてマラソンたいかいでゆうしょうしたのは、がっこうなかにとって surprising なできごとだった。
311番。このしろくろしゃしんは50年まえのうんどうかいで taken されたもので、わかいごろのそふがいっとうでゴールするしゅんかんだ。
312番。そぼはねるまえに、ももからうまれたおとこのこがおにをたいじする tale を、なんどもせがまれてはなしてくれた。
313番。あにはこの1年で10センチものびて、ついにちちをおいこすほど tall になった。ドアのわくにあたまをぶつけそうだ。
314番。きょうのわたしの task は、かだんのみずやりとウサギこやのそうじ。しいくいいんのとうばんひょうできまっている。
315番。そぼはらいきゃくがあると、きゅうすであつい tea をいれ、ゆのみにそそいでちゃがしといっしょにだす。
