1番。1年間のれんしゅうのまつ、かれは25メートルをおよぎきることが able になった。きょねんは5メートルであしをついていた。
2番。あねはだいがくのこうかんりゅうがくで、らいげつから1年間 abroad でまなぶ。いきさきはカナダのバンクーバーだ。
3番。かのじょはしゅう3回、バレエの academy にかよっている。プロをめざすせいとがぜんこくからあつまるめいもんだ。
4番。いいんちょうへのすいせんをさいしょはことわろうとしたが、クラスのみなのはくしゅをみて、さいごはひきうけることを accept した。
5番。こうさてんでくるまどうしの accident があり、パトカーときゅうきゅうしゃがかけつけて、どうろがしばらくつうこうどめめになった。
6番。かじをみつけたら、まずおおごえでしらせて119番にでんわする。かんがえるよりさきに act することがいのちをすくう。
7番。ほうかごのぶかつどうにくわえて、どようはちいきのせいそう activity にさんかしている。からだをうごかすきかいがしゅう5日はある。
8番。しんちょう190センチのかれにとって、バスケットボールではたかさがおおきな advantage になる。
9番。「めんせつではけつろんからはなすといいよ」というせんぱいの advice のおかげで、ほんばんではおちついてこたえられた。
10番。サバンナをはしるライオンやゾウのむれ。 Africa たいりくには54のくにがあり、サハラさばくもひろがっている。
11番。そふとわたしは60歳も age がはなれているが、しょうぎをさすときだけはたいとうなライバルだ。
12番。こうていでたおれたせいとのために ambulance がよばれ、サイレンをならしながら5分でとうちゃくした。
13番。このびじゅつかんをせっけいした architect は、ひかりのはいりほうまでけいさんしてまどのいちをきめたという。
14番。この area はえどじだいのまちなみみがのこっていて、でんせんもちちゅうにうめられ、あるくだけでじだいげきのなかにいるきぶんになる。
15番。ニュースによると、コンビニごうとうのはんにんはぼうはんカメラのえいぞうがきめてとなり、3日のちにけいさつが arrest した。
16番。こてんをひらいたその artist は、はいざいだけをくみあわせて、たかさ3メートルのちょうこくをつくりあげていた。
17番。にっぽん、ちゅうごく、インド、タイ。 Asia はせかいのじんこうのはんぶんいじょうがくらす、もっともにんのおおいたいりくだ。
18番。ひろしまのしりょうかんでは、1945年にとうかされた atomic ばくだんのひがいについて、じつぶつのいひんとともにまなんだ。
19番。あにのけっこんしきにしんせきが30人も attend して、かいじょうのホテルはしゅくふくのはくしゅにつつまれた。
20番。かれはまけたしあいのあとも、あいてチームにれいをつくし、しんぱんにかんしゃをつたえた。その attitude がかんきゃくのこころをうった。
21番。おとしだまをぜんがく bank にあずけた。つうちょうにきちょうすると、わずかだがりそくがついていた。
22番。ピラミッドの base はいっぺん230メートルのせいほうけいで、このきょだいなどだいが4500年間もたてものをささえてきた。
23番。かいかいしきがごぜん9時ちょうどに began した。にゅうじょうこうしんのせんとうは、ゆうしょうこうほの3年Aくみだった。
24番。えいがが begin するまえに、スマートフォンのでんげんをきるようアナウンスがながれた。
25番。きづけばこうじはもう begun されていて、さらちだったばしょにきそのコンクリートがながしこまれていた。
26番。つうがくようの bicycle のタイヤがパンクして、けさは30分かけてあるいてがっこうへいくはめになった。
27番。みずうみでてこぎの boat をかりて、30分間オールをこいだ。うではパンパンだが、すいめんからみるけしきはかくべつだった。
28番。せんそうちゅう、このまちには100はつをこえる bomb がおとされ、えきまえのいったいはやけのはらになったときろくにある。
29番。このかわのまんなかが2つのくにの border になっていて、はしのちゅうおうにはりょうごくのこっきがならんでたっている。
30番。かいがんのせいそうかつどうで、ガラスの bottle を20本いじょうひろった。なかにはがいこくごのラベルのものもあった。
31番。ひっこしのにづくりで、ほんだけでだんボールの box が5つもうまった。おもくて1人ではもちあがらない。
32番。サッカーおうこくとよばれる Brazil はみなみアメリカさいだいのくにで、にっぽんからみるとちきゅうのほぼうらがわにある。
33番。えきまえに30階たての building がかんせいし、さいじょうかいのてんぼうフロアからはまちぜんたいをみおろせるようになった。
34番。ちちはしゅうのはんぶんをしゅっちょうですごす。こんしゅうも business でおおさかへいき、とりひきさきとあたらしいけいやくをむすんできた。
35番。ふでにすみをたっぷりふくませ、はんしに「ゆめ」とひともじ。 calligraphy のじかんは、きょうしつがしずまりかえる。
36番。じしんのゆれのなかでも、せんせいは calm なこえで「つくえのしたへ」としじをだし、だれひとりあわてなかった。
37番。そふはうでのいい carpenter で、のこぎりとかんなをつかい、くぎをほとんどつかわずにきのたなをくみあげる。
38番。あめのひでもぬれずにのりおりできるよう、いえのよこにやねだけの carport をとりつけた。
39番。しらかべがうつくしいひめじの castle は、てんしゅかくまでのぼるとじょうかまちがいちぼうでき、てきをみはったぶしのきぶんになれる。
40番。ねころがってみあげると、たいいくかんの ceiling はおもったよりたかく、バレーボールがとどきそうもない。
41番。フルマラソンかんそうというおおきな challenge にむけて、ちちはまいあさ5キロのランニングをはじめた。
42番。きょねんの champion はことしもけっしょうまでかちあがり、2年れんぞくでゆうしょうカップをかかげた。
43番。けんたいかいをかちぬいたわたしたちは、ついにぜんこく championship へのきっぷをてにした。かいじょうはとうきょうのたいいくかんだ。
44番。ふたごなのに、あにはひとまえではなすのがすきで、おとうとはどくしょすきのしずかな character だ。かおいがいはにていない。
45番。マラソンたいかいでは、えんどうにならんだぜんこうせいとが、そうしゃひとりひとりにおおごえで cheer した。
