46番。あたらしいクラスでも、かのじょはしょにちから「おはよう!」と cheerfully あいさつして、すぐにともだちをつくった。
47番。ふゆのゆうがた、だんろのあるいえの chimney からしろいけむりがまっすぐたちあっていた。
48番。よこはまのちゅうかがいでは、みせさきから Chinese のかいわがきこえ、かんばんもかんじだけのものがおおい。
49番。あたらしいめがねをかけると、いままでよめなかったこくばんのちいさなじまで clearly みえるようになった。
50番。あたらしくきた coach はもとにほんだいひょうのせんしゅで、きそれんしゅうのしつがまるでかわった。
51番。かれはせかいのきねんきってを collect していて、アルバムはもう3冊め。ふるいものはそふのだいからのたからものだ。
52番。ことばがつうじなくても、みぶりやひょうじょうをつかえば communication はなりたつと、りゅうがくせいとのこうりゅうでじっかんした。
53番。2つのみせのチラシを compare すると、おなじしょうひんでもねだんに100円のさがあることがわかった。
54番。せかい30かくにのだいひょうがあつまるこくさい conference がとうきょうでひらかれ、かんきょうもんだいについて3日間はなしあわれた。
55番。あたらしいはしがかんせいして、かわでわかれていた2つのまちを connect した。つうきんじかんははんぶんになった。
56番。トンネルのなかではでんぱの connection がきれて、ちずアプリがつかえなくなった。
57番。そつぎょうしても contact をとりあおうと、クラスぜんいんでれんらくさきをこうかんした。
58番。そのどうがはタイトルこそおおげさだが、 content は10分間ずっとなかみのあるかいせつで、ノートをとりながらみた。
59番。ぶんかさいのげきで、わたしはまじょやくのくろいとんがりぼうしの costume を、かていかでならったぬいほうでてづくりした。
60番。まちがいをみとめてじぶんからあやまるのには、なにかにちょうせんするのとおなじくらいの courage がいる。
61番。あめあがりのテニス court にはみずたまりがのこっていて、ぶいんそうででスポンジですいとってかられんしゅうをはじめた。
62番。せんばのおり crane を、クラスぜんいんで1かかげつかけており、にゅういんちゅうのともだちにとどけた。
63番。かれのじゆうけんきゅうは、ペットボトルでくもをつくるそうちだった。ざいりょうはみじかでも、はっそうの creativity がひかっていた。
64番。いえにはいるときにくつをぬぐのはにっぽんの custom で、がいこくからきたともだちはさいしょすこしとまどっていた。
65番。いぬのさんぽ、さらあらい、げんかんのそうじ。この3つがわたしの daily なしごとで、365日やすみはない。
66番。ふゆはにちがみじかく、ぶかつをおえてこうもんをでるごろには、そらはもうすっかり dark になっている。
67番。そぼの death から1年。ぶつだんにこうぶつだっただいふくをそなえるたび、いっしょにたべたえんがわのじかんをおもいだす。
68番。このしょうてんがいはこの decade でおおきくかわった。10年まえのちずとくらべると、はんぶんのみせがいれかわっている。
69番。えんそくがけっこうかちゅうしかは、あしたのあさ6時のてんきに depend する。てるてるぼうずをつくっていのるしかない。
70番。ぜんりょくでれんしゅうしてきたたいかいがちゅうしになり、しばらくなにもするきがおきないほど depressed になった。
71番。あたらしいたいいくかんは、やねがなみのかたちをしためずらしい design で、けんちくのしょうもじゅしょうしたらしい。
72番。あねはふくの designer をめざしていて、ノートにはじぶんでかんがえたワンピースのスケッチがぎっしりえがかれている。
73番。きょだいなたいふうはひとばんでていぼうを destroy し、かわぞいのはたけはみわたすかぎりみずにしずんだ。
74番。りゅうがくとうしょはちゅうもんひとつにも difficulty をかんじたが、3かかげつたつごろにはじょうだんまでいえるようになった。
75番。5まんにんをしゅうようできるやきゅうじょうの dome は、あめのひでもしあいができるよう、きょだいなまるいやねでおおわれている。
76番。「しゅくだいは done した?」ときかれ、むねをはって「ゆうはんのまえにぜんぶおわらせたよ」とこたえられた。
77番。マラソンのゴールちょくご、かれは500ミリリットルのみずをいっきに drank して、ようやくいきをついた。
78番。バスの driver は、のってくるおとしよりひとりひとりに「あしもとにおきをつけて」とこえをかけていた。
79番。ポケットからさいふを drop したことにきづかずあるいていたら、うしろからきたにんがひろっておいかけてくれた。
80番。れいぞうこのむぎちゃはもうぜんぶ drunk されていて、そらのポットだけがもどされていた。はんにんはぶかつかえりのあにだ。
81番。みずやりを1週間わすれたはちうええは dying のじょうたいだったが、まいにちせわをしたらあたらしいめがでてきた。
82番。えんそくのひはうれしくて、めざましより1時間も early にめがさめてしまった。かぞくはまだねむっていた。
83番。テーブルにおいておいたプリンが、いつのまにか eaten されていた。ようきだけがながしにのこっていた。
84番。まいにち10個ずつたんごをおぼえるぢみちな effort を1年つづけたけっか、えいごのテストは40点もあがった。
85番。たいふうで2日間 electricity がとまり、よるはろうそくですごした。れいぞうこのこおりはぜんぶとけてしまった。
86番。 elementary スクールの6年間でしんちょうは40センチのび、にゅうがくしきのしゃしんのじぶんはべつじんのようだ。
87番。ぜんこうしゅうかいでなまえをよばれたのにべつじんとまちがえてたってしまい、かおからひがでるほど embarrassed だった。
88番。おちこんでいたわたしを、ともだちは「つぎはぜったいできるよ」と encourage してくれた。そのひとことでまえをむけた。
89番。あにはだいがくで engineering をまなんでいて、ロボットのうでをうごかすプログラムのかだいにとりくんでいる。
90番。サッカーはっしょうのちとされる England には、150年いじょうのれきしをもつクラブチームがいくつもある。
