181番。ほしいゲームのために、まいつきのこづかいから500円ずつ money をためて、8かかげつでついにかえた。
182番。だいそうげんとゆうぼくのくに Mongolia は、にっぽんの4ばいのこくどに、とうきょうの4分の1ほどのじんこうがくらしている。
183番。「けいぞくはちからなり」がかれの motto で、にっきはしょう1からいちにちもかかさずつづいているという。
184番。ダンスのせんせいは、ゆびさきまでしなやかな movement でてほんをみせ、わたしたちはかがみのまえでなんどもまねた。
185番。オリンピックのかいかいしきでは、200をこえる nation のはたがつぎつぎとにゅうじょうし、かいじょうははくしゅにつつまれた。
186番。とうきょうの national はくぶつかんには、きょうかしょにのっているこくほうのどぐうやとうけんがじつぶつでてんじされている。
187番。とざんには、あまぐ・ちず・ヘッドライトの3つが necessary だと、ガイドさんがしゅっぱつまえにねんをおした。
188番。はははでかけるまえに「カレーはなべのなか」とかいた note を、れいぞうこにマグネットではっていった。
189番。さいけつがこわくてなきそうなわたしに、 nurse は「3秒でおわるよ」とわらいかけ、ほんとうに3秒でおわらせてくれた。
190番。フライパンに oil をおおさじ1杯ひいて、たまごをわりいれると、ジュッとおとをたててしろみがかたまりはじめた。
191番。4年にいちどの Olympics には、せかいじゅうのトップせんしゅがあつまり、やく330しゅもくできんメダルをあらそう。
192番。レストランでてんいんさんが「ご order はおきまりですか」とききにきたが、メニューがおおくてまだまよっていた。
193番。せいとかいは、ちいきのおとしよりをまねくこうりゅうかいを organize した。かいじょうのてはいからしんこうひょうまでぜんぶじぶんたちでいった。
194番。りゅうがくをけいけんして、かのじょのものごとへの outlook はおおきくひろがった。「せいかいはひとつじゃない」がくちぐせになった。
195番。ひとまえではなすのがだいのにがてだったが、べんろんたいかいへのちょうせんをつうじて、そのじゃくてんを overcome した。
196番。ちちのかいしゃはせいひんの8わりを overseas にゆしゅつしていて、こうじょうにはえいごのひょうじばんがならんでいる。
197番。レジでごうけい1980円を paid して、おつりの20円をぼきんはこにいれた。
198番。オリンピックのあとにひらかれる Paralympics では、ぎそくのジャンパーやくるまいすのランナーがせかいきろくにいどむ。
199番。としょしつでかれはいつも particular なせきにすわる。まどぎわのいちばんおく、さくらのきがみえるあのせきだ。
200番。かれのてつどうへの passion はすさまじく、じこくひょうをよむだけで2時間はたのしめるという。
201番。そふのアルバムをめくると、しろくろしゃしんのなかに60年まえの past のまちなみがのこっていた。いまとはべっせかいだ。
202番。あらそいのニュースがつづくなか、こはんでとりのこえだけがひびくこの peaceful なじかんが、どれほどきちょうかかんがえた。
203番。すいそうがくぶはえきまえのひろばで、ちょうしゅう200人をまえに3曲を perform した。アンコールのはくしゅがなりやまなかった。
204番。たいそうせんしゅの performance はかんぺきで、ちゃくちのしゅんかん、かいじょうのとくてんいたにまんてんがひょうじされた。
205番。ろじょうの performer がジャグリングをはじめると、あしをとめたにんたちのわがみるみるおおきくなった。
206番。えど period はやく260年間つづき、せんのないじだいにちょうにんのぶんかがはなひらいた。
207番。7000いじょうのしまからなる Philippines は、にっぽんのみなみにあるとこなつのくにで、マンゴーやバナナのさんちとしてゆうめいだ。
208番。「てつだってくれてありがとう」とおれいをいうと、かれは「どういたしまして、ぼくの pleasure だよ」とわらった。
209番。せんきょがちかづくと、えきまえでは politician があさからマイクをにぎり、せいさくをうったえている。
210番。しっぱいしても「つぎにいかせるデータがとれた」というかれの positive なかんがえかたに、まわりはいつもすくわれる。
211番。「じんるいがかせいにすむことは possible か」というといに、かがくしゃたちは「ぎじゅつてきには」とこたえはじめている。
212番。たびさきからそぼに、ふじさんのしゃしんの postcard をおくった。きってをはってうらにきんきょうをひとことかいた。
213番。PKせんの5人め。はずせばはいたいという pressure のなか、かれはれいせいにゴールみぎすみへけりこんだ。
214番。そつぎょうしきで principal は、「しっぱいをおそれずいどみつづけてください」とひとりひとりにそつぎょうしょうしょをてわたした。
215番。レポートをしあげて、ていしゅつように2ぶ print した。インクがきれかけで、2枚めはすこしうすくなった。
216番。 professional のりょうりにんは、たまねぎ1個を10秒でみじんきりにした。ほうちょうのおとがリズムのようだった。
217番。だいがくの professor がでまえじゅぎょうにきて、さいしんのロボットけんきゅうについてじつえんをまじえてはなしてくれた。
218番。このがっしゅくの purpose はたいりょくづくりではなく、チームのけっそくをふかめることだと、しょにちにかんとくがめいげんした。
219番。しけんちゅうのきょうしつは quiet そのもので、ページをめくるおとととけいのびょうしんだけがきこえた。
220番。ちちは20年つづけたタバコをついに quit した。さいしょの1かかげつがいちばんつらかったそうだ。
221番。あたらしい racket にはりかえたガットははんぱつがよく、おなじちからでもボールが2メートルふかくとんだ。
222番。しつもんがあるにんはてを raise するようにいわれ、わたしはゆうきをだしてまっさきにあげた。
223番。たからくじで1おくえんあたるゆめをみたが、めざめればしゅくだいが3きょうかのこっている reality がまっていた。
224番。いえをでて10分たってから、かさをわすれたことに realize した。そらはすでにはいいろだった。
225番。かいがいのぶんつうあいてから、3週間かけてとどいたてがみを receive した。きってまでうつくしくてすてられない。
