271番。にじほうていしきのおうようもんだいに30分 struggle したが、ほじょせんいっぽんにきづいたしゅんかん、するするととけた。
272番。ぶんかさいのげきはたちみがでるほどのだい success で、アンコールのまくまであがった。
273番。はれていたそらが suddenly くらくなり、5分のちにはおおつぶのあめがじめんをたたきつけていた。
274番。けがでまつばづえのわたしを、ともだちは1かかげつかん、にもつもちとかいだんののぼりくだりで support してくれた。
275番。さばくのしょくぶつは、ねんにすうかいのあめだけで survive できるよう、くきにみずをたくわえるしくみをもつ。
276番。さんぽのじかんになると、いぬはリードをくわえて tail をはげしくふり、げんかんをいったりきたりする。
277番。そぼのみそしるの taste は、おなじざいりょうでつくってもさいげんできない。ながねんのかんがかくしあじらしい。
278番。そふはわたしにしょうぎを taught してくれた。さいしょのねんはいちどもかてなかったが、いまはごぶごぶだ。
279番。ぶんかさいのきょだいへきがは、したえ・いろぬり・しあげのぶんたんがみごとにはまった teamwork のけっしょうだ。
280番。きょうとのふるい temple では、にわのさもんをながめながら、ざぜんのたいけんをさせてもらった。
281番。ことしのぶんかさいの theme は「つなぐ」。かくクラスがこのいちごをどうひょうげんするかでこせいがでた。
282番。「こたえより、そこにいたる thinking のすじみちをかきなさい」というのがすうがくのせんせいのくちぐせだ。
283番。てんこうのことは、なかのよい3人にだけさきに told した。ぜんいん、しばらくことばをうっていた。
284番。こうじょうのけんがく tour では、ヘルメットをかぶって、チョコレートがかたにながれこむせいぞうラインをまじかにみた。
285番。なつの tournament はまけたらおわりのいっぱつしょうぶ。32こうのちょうてんをめざしてしょせんからぜんりょくだ。
286番。シェイクスピアの tragedy 『ロミオとジュリエット』は、すれちがいがうんだけつまつゆえにいまもむねをうつ。
287番。そふぼはたいしょくご、キャンピングカーでにほんじゅうを travel している。こんげつはきゅうしゅうのおんせんめぐりだそうだ。
288番。「あの2人がふたご」といううわさは true だった。たんじょうびもけつえきがたも、きけばぜんぶおなじだった。
289番。いとこの two-year-old のむすめは、おぼえたての「ありがと」をついたちになんじゅっかいもいってくれる。
290番。けつえき type はA・B・O・ABの4つにわかれ、ゆけつのさいにはてきごうのかくにんがかかせない。
291番。せんせいがずをえがいたしゅんかん、クラスぜんいんが「ああ!」とこえをあげた。ぜんいんがどうじに understood したおとだった。
292番。じゃんけんにかったにんだけおかわり2回は unfair だとこうぎがでて、けっきょくぜんいん1回ずつになった。
293番。しんぴんの uniform にそでをとおしたにゅうがくしきのあさ、かがみのまえでなんどもネクタイをしめなおした。
294番。あにのかよう university のがくえんさいにいくと、キャンパスはこうこうとはくらべものにならないひろさだった。
295番。たいせつにしていたマグカップをさってしまい、しばらく upset してことばがでなかった。
296番。 U.S. のだいとうりょうせんきょは4年にいちどおこなわれ、そのけっかはせかいじゅうのけいざいやがいこうにえいきょうをあたえる。
297番。そうぶいらいはつのぜんこくたいかい victory に、おうえんせきのそつぎょうせいまでかたをだきあってよろこんだ。
298番。たべのこしを waste しないよう、きゅうしょくはさいしょにりょうをちょうせいできるしくみになっている。
299番。しんぱんの whistle がなり、しあいしゅうりょう。スコアは2つい1、わたしたちのかちだった。
300番。やまみちで wild のシカのおやこにであった。むこうもこちらにきづき、しばらくみつめあってからもりへきえた。
301番。たいふうなみの wind で、さしていたかさがいっしゅんでうらかえり、ほねが2本おれてしまった。
302番。オランダのへいやには、はねをまわしてこなをひいてきたれきしある windmill がいまもならんでたっている。
303番。ちゅうせんかいの winner にはりょこうけん10まんえんふんがおくられる。とうせんばんごうのよみあげに、かいじょうがしんとしずまった。
304番。ぎじゅつのじゅぎょうで、こまい wire をペンチでまげて、じぶんのなまえのかたちのオブジェをつくった。
305番。たなばたのたんざくに「かぞくがけんこうでありますように」という wish をかいて、ささのたかいところにむすんだ。
306番。しろぐみはつなひききとたまいれのりょうほうで won して、5年ぶりにゆうしょうはたをとりもどした。
307番。このテーブルはいちまいいたの wood でできていて、ねんりんをかぞえると80本いじょうあった。
308番。せいじんしきのひ、あねはそぼがわかいごろに wore していたあかいふりそでにそでをとおした。50年まえのきものとはおもえなかった。
309番。ははのたんじょうびプレゼントを、はながらのかみで wrap してリボンをかけた。つつみかたはてんいんさんのどうがでよしゅうした。
310番。その writer のしんかんははつばいびにしょてんにぎょうれつができるほどで、わたしもしょはんをてにいれた1人だ。
311番。でんしゃをはんたいほうこうにのってしまい、3えきすすんでから wrong だときづいてあわててひきかえした。
