1番。カレーのしあげに、かくしあじとしてチョコレートをひとかけら add すると、あじにふかみがでる。
2番。ひっこしのしらせに、あたらしい address をかいたカードをどうふうした。ゆうびんばんごうからばんちまでまちがいなくたしかめた。
3番。ちずをもたずにじてんしゃでとなりまちまでいってみた。ちいさな adventure だったが、しらないみちはどきどきした。
4番。でんしゃのなかづりの advertisement には、しんはつばいのアイスのしゃしんがおおきくのっていて、ついばいてんをさがした。
5番。キングぼくしは African-American のこうみんけんうんどうをひきい、「わたしにはゆめがある」というえんぜつでれきしをうごかした。
6番。マラソンのちゅうけいでは、せんとうのせんしゅが2位に200メートルのさをつけて ahead をはしっていた。
7番。はじめてのかいがいりょこうのあさ、しゅっぱつの3時間まえに airport についた。かっそうろにはおおきなひこうきがならんでいた。
8番。そぼのいえの album には、セピアいろになったかぞくしゃしんがねんだいじゅんにはられ、よはくにひづけがかきこまれていた。
9番。このこうえんではいぬのさんぽは allow されているが、リードをはずすことはきんしされている。
10番。かぞくがでかけ、はじめてよるまで alone でるすばんをした。ものおとのたびにふりかえったが、ぶじにやりとげた。
11番。5歳のしょうねんがあんざんで4けたのかけさんをとき、テレビのしんさいんぜんいんを amaze させた。
12番。じゆうのめがみがそびえる America は、せかいじゅうからにんがあつまるたみんぞくのくにで、50のしゅうからなる。
13番。ホームステイさきの American のかていでは、ちょうしょくにパンケーキがやまのようにつまれてでてきた。
14番。エジプトの ancient のピラミッドは、4500年まえにたてられたとはおもえないせいみつさでいしがつまれている。
15番。1秒のえいぞうに24枚のえをつかう animation のせいさくげんばでは、げんがマンが1枚ずつひょうじょうをえがきわけていた。
16番。にっぽんの anime はかいがいでもにんきで、りゅうがくせいのトムはにほんごをアニメのセリフでおぼえたといっていた。
17番。ちいさいごろはまいにちかよっただがしやに、ちゅうがくせいになってからは anymore いかなくなった。
18番。あにはだいがくのちかくの apartment でひとりくらしをはじめた。6畳ひとまにちいさなだいどころがついている。
19番。あおもりからとどいたはこいっぱいの apple は、かわがまっかでずっしりおもく、かじるとみつがあふれた。
20番。 aquarium のおおみずそうでは、ジンベエザメがずじょうをゆっくりよこぎり、かんきゃくからかんせいがあがった。
21番。コンサートかいじょうの arena せきはぶたいとおなじたかさのフロアせきで、ステージまでのきょりがいちばんちかい。
22番。このいけは artificial のもので、100年まえにのうぎょうようみずのためににんのてでほられたとせきひにある。
23番。サッカーでかれはとくてんこそしなかったが、3つのゴールすべてをぜつみょうなパスで assist した。
24番。「みなさん、 attention をおねがいします」といいんちょうがてをたたくと、ざわついていたきょうしつがしずかになった。
25番。よるのがいとうはむしを attract する。あかりのしたにはちいさなはねむしがむらがってうずをまいていた。
26番。まくがおりると、500人の audience がいっせいにたちあがり、はくしゅは5分間なりやまなかった。
27番。アメリカのゆうじんのいえの backyard はひろく、いえのあとろでバーベキューもバスケもできるほどだった。
28番。しゅうまつにははとクッキーを bake した。オーブンからあまいかおりがただよい、やきあがりの20分がまちどおしかった。
29番。かいてんきねんでもらったあかい balloon がてからはなれ、あおそらにちいさくなるまでみおくるしかなかった。
30番。うらやまの bamboo のはやしは、まっすぐなみどりのかんがてんにのび、はるにはタケノコがあちこちにかおをだす。
31番。マラソンのきゅうすいじょでは、みずといっしょにはんぶんにきった banana がくばられ、はしりながらかわをむいてたべた。
32番。ぶんかさいのステージで、3年生の band がギターとドラムでえんそうをはじめると、たいいくかんはそうだちになった。
33番。えきのだんさをなくすスロープこうじがおわり、くるまいすのにんのいどうをさまたげていた barrier がひとつきえた。
34番。とざんどうのいりぐちに「 bear しゅつぼつちゅうい」のかんばんがあり、わたしたちはすずをならしながらあるいた。
35番。まんかいのさくらなみきの beauty に、がいこくじんかんこうきゃくがあしをとめ、しばらくことばもなくみあげていた。
36番。すきやきにはうすぎりの beef をつかう。なべにひろげると、すぐにいろがかわってあまいかおりがたった。
37番。わたしはびじゅつぶに belong している。ぶいんは12人で、しゅう3回、ほうかごにぶしつでえをえがく。
38番。こうえんのこかげの bench にこしかけて、ふたりでわけたアイスをたべながらぶかつのはなしをした。
39番。にっちょくのしごとは、じゅぎょうのあとに blackboard をけすこと。チョークのこなでそでがしろくなる。
40番。たんじょうびケーキのろうそくを、かれはひといきでぜんぶ blew してけした。13本のけむりがたちのぼった。
41番。 blind のにんがしろいつえでてんじブロックをたどってあるけるよう、ブロックのうえにものをおいてはいけない。
42番。「ゆうびんきょくはここから2 block さきです」とおそわり、こうさてんを2つこえると、たしかにあかいポストがみえた。
43番。うみからのかぜがつよく blow して、さしていたかさがいっしゅんでうらかえった。ぼうしもとばされそうだった。
44番。のうえんで blueberry かりをした。むらさきいろにじゅくしたちいさなみを、くちにいれるとあまずっぱさがひろがった。
45番。ぜんこうしゅうかいでとつぜんなまえをよばれてひょうしょうされ、かれはみみまでまっかに blush しながらだんじょうにあがった。
