181番。じゃんけんできめるのがいちばん fair だ。つよいにんもせんせいのこもかんけいなく、かつかくりつはみんなおなじになる。
182番。てんにんするせんせいの farewell のかいで、クラスぜんいんからのよせがきをわたすと、せんせいはなみだぐんだ。
183番。なつやすみにほっかいどうの farm にとまり、あさ5時からうしのちちしぼりとトマトのしゅうかくをてつだった。
184番。そふは60年間 farming をつづけ、たうえからいねかりまで、きせつのてじゅんがすべてからだにはいっている。
185番。てんこうさきで、ようちえんのときのしんゆうとおなじクラスになった。ぐうぜんというより fate をかんじたさいかいだった。
186番。「ひとつ favor をおねがいしてもいい? るすのかん、きんぎょにえさをあげてほしいの」とりんじんにたのまれた。
187番。ホームランボールはこうていの fence をこえ、となりのはたけまでとんでいった。さくのたかさは3メートルもあるのに。
188番。あさからからだがだるく、はかると38.5どの fever があった。きょうはふとんであんせいにするしかない。
189番。このものがたりは fiction であり、じつざいのじんぶつやだんたいとはかんけいありません──えいがのさいごによくながれるいちぶんだ。
190番。まいつきの fifteenth のひは、おこづかいのひ。カレンダーの15日にあかまるをつけてまっている。
191番。サンタクロースのむらとオーロラでしられる Finland は、ほくおうにあり、ふゆはたいようがほとんどのぼらない。
192番。キャンプばで firewood をひとたばかい、なたでこまくさってからひをつけると、よくもえた。
193番。なつまつりのよる、1まんはつの firework がよるそらにひらき、はらにひびくおととかんせいがこうごにつづいた。
194番。きょねんのうわばきはもうあしに fit しなくなった。つまさきがあたるので、1センチおおきいサイズにかいかえた。
195番。きょうふうでぼうしが flew して、3軒さきのにわまでおいかけるはめになった。
196番。おきなわいきの flight はごぜん10時はつ。とうじょうぐちには1時間まえまでについておくひつようがある。
197番。あらいたてのもうふは fluffy で、かおをうずめるとたいようのにおいがして、そのままねむってしまいそうだった。
198番。 forest のなかはまなつでもひんやりして、きぎのかんからさすひかりがじめんにまだらもようをつくっていた。
199番。そつぎょうアルバムのよせがきに、しんゆうは「この3年間を forever わすれない」とかいてくれた。
200番。スパゲッティは fork にめんをくるくるまきつけてたべると、すすらずにきれいにくちへはこべる。
201番。もうしこみ form になまえとじゅうしょをきにゅうし、さいごにほごしゃのサインらんをうめてていしゅつした。
202番。あたらしいコーチは former のオリンピックせんしゅで、げんえきじだいはぎんメダルをかくとくしたそうだ。
203番。なつやすみさいしょのあさ、しゅくだいもじかんわりもない freedom をまんきつして、ひるまでふとんでごろごろした。
204番。あさいちのさかなは fresh そのもので、めがすみ、エラはあざやかなせきしょくをしていた。
205番。となりのいえのいぬはとても friendly で、しょたいめんのわたしにもしっぽをふってはらをみせてきた。
206番。ちょうきょりトラックは、しゅっぱつまえにタンクいっぱいの fuel をいれる。まんタンで1000キロははしれるという。
207番。「ゆうしょうしたらぼうずになる」というやくそくを、キャプテンはほんとうに fulfill して、よくじつまるがりりであらわれた。
208番。かれのモノマネがあまりに funny で、きゅうしょくのぎゅうにゅうをふきだしそうになった。
209番。しんきょにはこびこまれた furniture は、ベッド、つくえ、ほんだな、ソファの4点。はいちをきめるだけではんにちかかった。
210番。はれたにちに futon をほすと、よるにはたいようのにおいがして、つつまれたしゅんかんにねむけがやってくる。
211番。げつようともくようはもえる garbage のしゅうしゅうにち。8時までにださないと、かいしゅうしゃはいってしまう。
212番。りょうりのとき、こんろの gas のひかげんをちょうせいする。あおいほのおがあんていしてでていればせいじょうだ。
213番。みずうみには30羽ほどの geese がVじのへんたいをくんでひらいし、いっせいにすいめんへおりたった。
214番。そふ、ちち、わたし。3つの generation がそろうしょうがつのしょくたくでは、それぞれのこどもじだいのはなしがでる。
215番。あめのひ、かさをもたないにんにさっとじぶんのかさをさしだしたその gentleman は、なのらずにさっていった。
216番。「レディース・アンド・ gentlemen !」というしかいのよびかけで、かいじょうのしょうめいがおち、ショーがはじまった。
217番。ことばのつうじないくにでも、たべる gesture をしながらみせをささせば、「しょくじがしたい」はつたわった。
218番。チョコレートのつつみかみにもなまえがのる Ghana は、にしアフリカのくにで、カカオまめのせいさんがさかんだ。
219番。はっぴょうのじゅんびに given されたじかんは1週間。はんでてわけして、しりょうつくりとれんしゅうをすすめた。
220番。アラスカの glacier は、あおじろいこおりのかたまりがやまからうみへゆっくりながれくだり、せんたんがごうおんとともにくずれおちる。
221番。ギリシャしんわには、うみの god ポセイドンやたいようしんアポロンなど、こせいゆたかなかみがみがとうじょうする。
222番。オリンピックの gold メダルをかむポーズはていばんだが、じつはなかみのほとんどはぎんでできているそうだ。
223番。れいぞうこにのこしておいたプリンが gone していた。ようきすらのこっていない。はんにんはきくまでもない。
224番。おとしたさいふが、げんきんもカードもそのままもどってきた。ひろったにんの goodness にこころからかんしゃした。
225番。コンサートかいじょうのばいてんには、タオルやキーホルダーなどの goods がならび、かいえんまえからぎょうれつができた。
