226番。どうわにでてくる goose は、きんのたまごをまいにち1個ずつうんで、よくばりなかいぬしにさかれてしまう。
227番。 government はらいねんどのよさんあんをはっぴょうした。きょういくとぼうさいにつかうおかねがことしよりふえるという。
228番。そぼは granddaughter のわたしのために、ひなにんぎょうをまいとしかかさずかざってくれる。
229番。そふは grandson のおとうとがうまれたにち、びょういんで「あとつぎだ」とないてよろこんだとははからきいた。
230番。サッカーばの grass はみじかくかりそろえられ、はだしであるくとちくちくとここちよかった。
231番。オリンピックはっしょうのち Greece には、パルテノンしんでんなど2500年まえのたてものがいまものこっている。
232番。とうこうじ、こうもんにたつこうちょうせんせいが、せいとひとりひとりを「おはよう」と greet してくれる。
233番。ねんがじょうはしんねんの greeting をつたえるにっぽんのしゅうかんで、がんじつのあさにとどくようねんないにとうかんする。
234番。サプライズのけいかくがばれていないとしったかれは、くちのはじをあげて grin しながらじゅんびをつづけた。
235番。はこのなかみをふらずに guess するゲームで、おととおもさだけをたよりに「みかん!」とこたえたらせいかいだった。
236番。どうくつツアーの guide は、ヘルメットのライトであしもとをてらしながら、いわのなまえとれきしをせつめいしてくれた。
237番。りくうえのけっしょうは、スターターがかまえた gun のおとがなったしゅんかん、8人がいっせいにとびだした。
238番。コアラの habitat はユーカリのもりだが、かいはつとやまかじでそのめんせきはねんねんせばまっている。
239番。のこったピザをおとうとと half ずつにわけた。1枚を2人で4きれずつ、きっちりおなじかずだ。
240番。サンドイッチにうすぎりの ham とレタスをはさんだ。ぶたにくのしおけとパンのあいしょうはまちがいない。
241番。やかんがあついときは、かならず handle のぶぶんをもつ。ほんたいにふれたら、やけどではすまない。
242番。「 happiness はおかねでかえるか」というどうとくのぎろんで、クラスのいけんはまっぷたつにわれた。
243番。あきの harvest のじき、たんぼではいねかりきがうなり、のきさきにしんまいのふくろがつみあがった。
244番。せんそうのかたりぶは「 hatred はつぎのせんそうをうむ。だからわたしはにくまず、つたえつづける」としずかにかたった。
245番。 Hawaiian のでんとうりょうりポキは、しんせんなマグロをしょうゆベースのたれであえたいっぴんだ。
246番。すりむいたひざは、1週間もすればしぜんに heal する。かさぶたをはがさずまつのがコツだ。
247番。ぜんりょくしっそうのあと、 heart がドクドクとはげしくうち、むねにてをあてるとそのはやさがよくわかった。
248番。まなつのアスファルトの heat はすさまじく、いぬのさんぽはあさゆうのすずしいじかんにずらしている。
249番。ふゆのあさは、おきる30分まえに heater のタイマーをセットしておくと、へやがあたたまっていてふとんからでやすい。
250番。じゅけんべんきょうには、せんぱいがのこしてくれた「よくでるもんだいノート」がとても helpful だった。
251番。「 hey 、こっちこっち!」とかいさつのむこうでともだちがおおきくてをふってよんでいた。
252番。まちはずれの hill にのぼると、ちょうじょうからいえいえのやねとうみまでがいちぼうできた。やまというにはひくいが、ながめはさいこうだ。
253番。そふの hobby はぼんさいで、やすみのひはあさからゆうがたまで、ちいさなまつのえだをながめてははさみをいれている。
254番。なつの homestay では、オーストラリアのかていに2週間とまり、げんちのかぞくとおなじしょくたくをかこんだ。
255番。ちちの hometown はせとうちのみなとまちで、きせいするたび、ちちはこどものごろにおよいだはまをあんないしたがる。
256番。9回うらで10点さ。だれもが hopeless だとおもったそのしあいを、かれらは1点ずつかえしてひっくりかえした。
257番。ゆうひが horizon にしずむしゅんかん、うみとそらのさかいめがオレンジいろにもえ、なみのうえにひかりのみちができた。
258番。りょこうのよるは、えきまえの hotel にとまった。へやのまどからしろのライトアップがみえるぜっこうのりっちだった。
259番。すいぞくかんのジンベエザメは huge で、ぜんちょう12メートル。となりをおよぐダイバーがこざかなのようにみえた。
260番。チンパンジーのDNAは human と98%いじょうおなじだと、かがくかんのてんじパネルにかかれていた。
261番。にっぽんのなつはきおんだけでなく humid なのがつらい。せんたくものはかわかず、ノートのかみまでなみうってくる。
262番。ライオンのむれは、よるのやみにまぎれてシマウマを hunt する。せいこうりつは2わりほどだという。
263番。クマがさとにおりたふゆ、じもとの hunter たちがりょうじゅうをてにやまへはいり、そくせきをおった。
264番。「うちの husband はりょうりがとくいなんですよ」ととなりのおくさんがいうと、そのおっとはてれくさそうにわらった。
265番。きょうかいのけっこんしきでは、さんれつしゃぜんいんで hymn をうたい、パイプオルガンのおとがてんじょうにひびいた。
266番。まなつのジュースには ice をたっぷりいれる。カランとなるおとだけですずしくかんじる。
267番。ぶかつかえりにのむ iced のコーヒーは、グラスのそとがわまですいてきがついて、ひとくちでいきかえるここちがする。
268番。100年のちのまちを imagine してえにえがくじゅぎょうで、わたしはそらとぶスクールバスとかいちゅうトンネルをえがいた。
269番。1年生ながら3年生をあいてにいっぽもひかないかれのプレーは、かんきゃくにもあいてチームにも impressive だった。
270番。そうりょう including で2,980円というひょうじだったので、ついかのしはらいはないとわかってあんしんした。
