271番。えきまえにだいがくができてから、このまちのじんこうは5年で2わりも increase した。あたらしいアパートもつぎつぎたっている。
272番。かのじょのけいさんは incredibly はやい。3けたのかけさんを、わたしがひっさんをかきはじめるまえにあんざんでこたえてしまう。
273番。もうしょびのたいいくは、こうていではなく indoors にへんこうされ、たいいくかんでバレーボールをした。
274番。このけんはじどうしゃの industry がさかんで、くみたてこうじょうとぶひんメーカーではたらくにんが10まんにんをこえる。
275番。あしくびの injury がかんちするまで3週間、かれははしるのをがまんして、じょうはんしんのすじトレだけつづけた。
276番。カブトムシやチョウなどの insect は、あしが6本でからだが3つのぶぶんにわかれている。クモはあし8本なのでちがう。
277番。あいてのみためをわらいのネタにするのは、ほんにんにそのつもりがなくてもにんを insult するこういだ。
278番。てんこうしょにち、たんにんのせんせいがわたしをきょうしつのまえで introduce してくれて、わたしはなまえとまえのがっこうをはなした。
279番。 Italian りょうりのみせで、ほんばしこみのかまやきピザをたべた。きじのへりはもちもちでこうばしかった。
280番。かにさされたあしくびが itchy でたまらないが、かくとよけいひどくなるので、くすりをぬってがまんした。
281番。あさばんがひえてきたので、シャツのうえにうすでの jacket をはおりってとうこうするようになった。
282番。ALTの Jones せんせいはウェールズのしゅっしんで、おなじみょうじのにんがまちになんじゅうにんもいるとわらっていた。
283番。その journalist はふんそうちにはいり、げんちのひとびとのこえをきじにしてせかいへつたえつづけている。
284番。はじめてじてんしゃにのれたにちの joy はいまでもわすれない。せかいがひろがったきがして、にちがくれるまではしりまわった。
285番。ホームステイさきの Judy さんは、まいばんねるまえに「グッドナイト」とへやまでこえをかけてくれた。
286番。オーストラリアのそうげんで、 kangaroo がうしろあしではねながら、おなかのふくろにこどもをいれていどうしていた。
287番。テストあけのほうかご、ともだちと karaoke にいき、2時間で15曲をマイクかたてにうたいきった。
288番。そぼはよめいりどうぐのきょうだいを60年間 kept していて、いまもまいあさそのまえでかみをととのえる。
289番。げんかんの key をかばんのおくでさがすうち、ははがなかからドアをひらけてくれた。
290番。ふるいようかんのとびらにはおおきな keyhole があり、のぞきこむとむこうのへやがわずかにみえた。
291番。ペナルティーエリアでボールを kick したしゅんかん、ゴールみぎうえにすいこまれ、スタンドがゆれた。
292番。しんせいじのたいじゅうはおよそ3 kilogram 。スイカ1たまとほぼおなじおもさだときくと、だくてにじっかんがわく。
293番。チェスでは king をとられたらまけだ。もっともたいせつなこまなのに、うごきは1マスずつといがいにじみだ。
294番。しょくいんしつのドアを2回 knock して、「しつれいします」といってからなかにはいった。
295番。どうぶつえんの koala は、ユーカリのきにだきついたまま1日20時間もねむるそうで、きょうもまるまっていた。
296番。バスでせきをゆずると、その lady は「まあ、ごしんせつに」とじょうひんにほほえんでくれた。
297番。 latest のスマートフォンは、カメラが3つもついて、やけいもひるまのようにあかるくとれるという。
298番。はんの leader にえらばれたかのじょは、まずぜんいんのいけんをきいてから、やくわりぶんたんをきめた。
299番。はちみつにわぎりの lemon をつけこむと、ぶかつのさしいれにさいこうの、あまずっぱいいっぴんになる。
300番。けしゴムをわすれたとなりのせきのこに、よびの1個を lend した。よくあさ、おれいのあめといっしょにかえってきた。
301番。このだがしはちいき limited のしょうひんで、ここのけんでしかうられていない。おみやげに10個かった。
302番。シートベルトのぎむかによって、まいとしなんぜんもの lives がこうつうじこからすくわれている。
303番。シーラカンスは living のかせきとよばれる。すうおくねんまえとほぼおなじすがたのまま、いまもしんかいをおよいでいるからだ。
304番。いえをでるとき、げんかんのドアを lock したかふあんになり、えきからいちどもどってたしかめた。かかっていた。
305番。たいいくのまえに、せいふくをたたんでじぶんの locker にしまい、ナンバーじょうをまわしてしめた。
306番。となりのきょうしつのおうえんれんしゅうがあまりに loud で、こちらのせんせいのこえがかきけされるほどだった。
307番。ははがあかちゃんのおとうとに lullaby をうたうと、ぐずっていたのが5分もしないうちにねいきをたてはじめた。
308番。コインランドリーのおおがた machine は、もうふをまるごとあらってかわかすまで、ボタンひとつでしあげてくれる。
309番。びよういんのまちじかんに、ファッション magazine をぱらぱらめくった。ふろくつきのごうはぶあつい。
310番。よきょうの magic で、かれはそらのはこからはとをだしてみせた。タネをきいてもだれもみやぶれなかった。
311番。うんかいのうえにあたまをだしたふじさんは majestic で、とざんしゃたちはことばをうってシャッターをきった。
312番。このえんぴつの maker はそうぎょう100年のぶんぐかいしゃで、しょくにんがしんのかたさを17だんかいもつくりわけている。
313番。にっぽんの manga はかいがいでもよまれていて、パリのしょてんにはにほんしきにみぎからひらくたながならんでいるそうだ。
314番。オリエンテーリングでは、 map とコンパスだけをたよりに、もりのなかのチェックポイントをさがしてまわる。
315番。くしろの marsh はにほんさいだいで、ぬかるんだだいちいちめんにヨシがしげり、タンチョウがまいおりる。
