316番。「なにかこまった matter でもあるの?」とほけんのせんせいがきいてくれて、ようやくなやみをはなせた。
317番。あたらしいとしょかんのかいかんしきで、 mayor がテープカットをして、「しみんのたからにしたい」とあいさつした。
318番。1日3回の meal のうち、わがいえでぜんいんがそろうのはよるだけだ。だからゆうしょくのじかんはたいせつにしている。
319番。やきにくでは、 meat をあみにのせ、りょうめんにやきいろがついたらタレにくぐらせてほおばる。
320番。マラソンたいかいの3位までには medal がじゅよされる。くびにかけてもらったどういろのえんばんは、ずしりとおもかった。
321番。コーンのうえのアイスがなつのひさしで melt して、いそいでなめたがてくびまでたれてきた。
322番。しゅうがくりょこうの memory のなかでも、しょうとうのちにこっそりかたりあったよるのことは、しゃしんにはのこっていないたからものだ。
323番。きゅうしょくの milk はびんからかみパックにかわったが、しろいなかみはきょうもかわらず200ミリリットルだ。
324番。ニュースできょういくたんとうの minister が、あたらしいしょうがくきんせいどについてきしゃのしつもんにこたえていた。
325番。せんめんじょの mirror にうつるじぶんのねぐせがあまりにひどく、みずでおさえつけてからいえをでた。
326番。パズルのさいごの1ピースが missing で、ソファのしたまでさがしたら、いぬのねゆかからでてきた。
327番。ゆうぐれのみちで、でんちゅうのかげをにんと mistook して、おもわずえしゃくをしてしまった。
328番。ホットケーキのこなにたまごとぎゅうにゅうを mix して、だまがなくなるまであわたてきでかきまわした。
329番。まいごのおとこのこが「 mommy はどこ?」とないていたので、かかりのにんといっしょによびだしカウンターへつれていった。
330番。えいごのちずでは、ふじさんは「 Mt. フジ」とひょうきされる。やまのなまえのまえにつけるりゃくごだ。
331番。とうなんアジアの Myanmar は、きんいろにかがやくぶっとうがならぶくにで、ひとびとはいまもそうりょへのほどこしをたいせつにしている。
332番。ナスカのちじょうえは、だれがなんのためにえがいたのかいまもわからない、 mysterious ないさんだ。
333番。だれがはなびんをさったのかは、けっきょく mystery のままだった。はんにんどころかもくげきしゃすらあらわれなかった。
334番。このおんせんはかねつもかすいもしていない natural のおゆで、げんせんからわいたままよくそうにそそがれている。
335番。 naughty なこねこは、トイレットペーパーをろうかのはじまでころがして、とくいげにすわっていた。
336番。となりにこしてきた neighbor が、あいさつにとてづくりのクッキーをもってきてくれた。
337番。ふたごのきょうだいにきいたが、 neither もいたずらのはんにんではなかった。しんはんにんはかいねこだった。
338番。げんかんののきしたにツバメが nest をつくり、どろとかれくさのうつわのなかで、ヒナが3羽くちをひらけている。
339番。そふはまいあさ、 newspaper を1めんからじゅんによみ、きになるきじをはさみできりぬいてノートにはる。
340番。 nineteenth せいき、つまり1800年だいに、しゃしんやでんわなどげんだいにつながるはつめいがつぎつぎとうまれた。
341番。かれのせばんごうは No. 10。エースナンバーをせおって、チームのこうげきをくみたてる。
342番。「わかった?」というせんせいのといに、クラスぜんいんがだまって nod した。こえはなくてもへんじはつたわった。
343番。えいごをはなすにんのおおくは、じつは non-native のスピーカーだ。ぼごでないにんどうしがえいごでつうじあっている。
344番。かつてのアメリカには、 non-white のひとびとがバスのせきやレストランでさべつされるじだいがあった。
345番。ほういじしんのあかいはりは、いつも north をさす。ちずをあわせれば、すすむべきほうがくがわかる。
346番。にっぽんの northern のちいき、とくにほっかいどうでは、つゆがほとんどなく、なつもからりとすずしい。
347番。かみを10センチきったのに、ちちは3日間まったく notice しなかった。はははげんかんでそくざにあてた。
348番。えいがにでてきた nun は、くろいしゅうどうふくにみをつつみ、きょうかいでこじたちのせわをしていた。
349番。はははおとうとをえきまえの nursery にあずけてからしゅっきんする。おむかえはゆうがた6時、れんらくちょうに1日のようすがかかれている。
350番。たいへいようはせかいさいだいの ocean で、ちきゅうのひょうめんの3分の1をしめる。にっぽんはそのにしのはじにうかぶ。
351番。すいそうの octopus は8本のあしをきようにつかい、ふたつきのびんをひらけてなかのエサをとりだした。
352番。うわさはいろいろながれたが、がっこうからの official なはっぴょうでは、たいいくさいはよていどおりかいさいとのことだった。
353番。「みぎ」といわれたのに opposite のひだりへまがってしまい、しゅうごうばしょからどんどんとおざかっていた。
354番。80人の orchestra がいっせいにおとをだしたしゅんかん、ホールぜんたいがふるえるようだった。しきぼういっぽんでおとがとむ。
355番。そのひはしゅくだいをしてゆうはんをたべるだけの ordinary なついたちのはずだった。ながれぼしをみるまでは。
356番。カレーライスの origin はインドだが、にっぽんへはイギリスけいゆでつたわり、どくじのしんかをとげた。
357番。えいがもよかったが、 original のしょうせつではしゅじんこうのこころのこえがこまかくえがかれ、けつまつのいみもすこしちがう。
358番。このたいいくかんは originally はそうこだったたてもので、かいそうのなごりとしてかべにおおきなはんにゅうくちがのこっている。
359番。ひょうこう8000メートルではそらきなかの oxygen がへいちの3分の1しかなく、おおくのとざんいえがボンベをせおう。
360番。りょこうのぜんや、スーツケースに3日ふんのきがえを pack した。おみやげようのすきまもあけておいた。
