361番。かいがいのゆうじんから package がとどいた。はこをひらけると、かんしょうざいのなかからおかしとてがみがでてきた。
362番。「きょうかしょの42 page をひらいてください」とせんせいがいうと、きょうしつにいっせいにかみをめくるおとがひびいた。
363番。むしばをほうちしていたら、よなかにずきずきと pain がはしり、ねむれないままあさのはいしゃにかけこんだ。
364番。ゴッホはせいぜんほとんどえがうれなかった painter だが、いまでは1枚に100おくえんのあたいがつく。
365番。びじゅつかんのその painting のまえだけにんだかりができていた。ガラスこしでも、ひまわりのきいろはせんれつだった。
366番。あたらしいくつしたを3 pair かった。さゆうで1くみとかぞえるので、ぜんぶで6枚になる。
367番。ベルサイユの palace には、かがみはりのおおひろまやおうごんのもんがあり、かつておうとおうひがくらしていた。
368番。ふなよいしたゆうじんは、かおが pale になり、ひたいにあせをうかべてベンチにうずくまっていた。
369番。カブトムシを palm にのせると、6本のあしがくすぐったく、おもったよりずっしりとおもかった。
370番。こうこうのぶんかさいでもらった pamphlet には、こうしゃのちずとかくきょうしつのだしものがいちらんでのっていた。
371番。やねにならんだたいようこうの panel がひざしをうけて、このいえのでんきのたいはんをまかなっている。
372番。そのすいえいせんしゅはじこであしが paralyzed になったが、うでのちからだけでおよぎ、パラリンピックできんメダルをとった。
373番。フランスのしゅと Paris には、エッフェルとうやがいせんもんがあり、げいじゅつのみやことよばれている。
374番。ダンスのじゅぎょうでは、 partner とてをとりあってステップをふむ。いきがあわないとあしをふんでしまう。
375番。かいがいへいくには passport がひつようだ。そらみなとのしんさでかおじゃしんのページをひらいてていじする。
376番。やまなしの peach はかわまでやわらかく、ひやしてかぶりつくとかじゅうがしたたりおちた。
377番。アンケートでは、かいとうしゃの85 percent が「ちょうしょくをまいにちたべる」とこたえた。100人なか85人にあたる。
378番。リコーダーのテストで、かのじょはさいごのおとまで perfectly にふききり、せんせいはまんてんをつけた。
379番。なんべいの Peru には、そらちゅうとしマチュピチュがあり、アンデスのやまのおねにいしづくりのいせきがひろがる。
380番。わがいえの pet は、いぬ1匹ときんぎょ3匹。せわのとうばんおもてがれいぞうこにはってある。
381番。しょほうせんをわたすと、 pharmacist がくすりをとりそろえ、のみあわせとかいすうをていねいにせつめいしてくれた。
382番。しろくろのふるい photograph には、かいこうとうじのもくぞうこうしゃと、はかますがたのせいとたちがうつっていた。
383番。そつぎょうアルバムの photographer は、しぜんなえがおをひきだすために、とるちょくぜんにかならずひとことボケる。
384番。「ナイス・トゥー・ミート・ユー」はしょたいめんのあいさつのていばんの phrase で、まとまりごとおぼえるとかいわでやくたつ。
385番。よくはれたにちよう、こうえんへ picnic にでかけ、しばふにシートをひろげてサンドイッチをたべた。
386番。まんかいのさくらなみきは、そらまであわい pink にそめて、にゅうがくしきのつうがくろをさいっていた。
387番。たくはいの pizza がとどくと、はこをひらけたしゅんかんにチーズのかおりがひろがり、8等分のとりあいがはじまった。
388番。 playful なこいぬは、ボールをなげるたびにぜんりょくでおいかけ、なんどでもあしもとにもってもどってくる。
389番。ほんたいかかく plus しょうひぜいで、レジでのしはらいはひょうじより1わりほどたかくなる。
390番。うわぎの pocket にてをいれると、きょねんのふゆにいれたままの100円たまがでてきた。
391番。こくごのじゅぎょうで、ゆうやけをテーマに4おこの poem をかいた。みじかいことばにきもちをこめるのはむずかしい。
392番。せんきょまえのテレビとうろんでは、かくとうの political なしゅちょうがぶつかり、しかいがなんどもじかんをくぎった。
393番。クールビズきかんは、えりつきの polo シャツでのきんむがみとめられ、ちちもしろい1枚をあいようしている。
394番。こうえんの pond にはこいとかめがいて、パンくずをなげるとすいめんがいっきにざわめく。
395番。トリミングしたての poodle は、まきげがふんわりまるくととのえられ、ぬいぐるみのようだった。
396番。ラジオからながれる pop のきょくは、いちどきいたらサビがあたまからはなれない、けいかいなメロディーだった。
397番。せかいの population は80おくにんをこえた。1950年のやく25おくにんから、70年で3ばいいじょうにふえた。
398番。「パン」や「カステラ」は、16せいきにつたわった Portuguese がにほんごになったことばだ。
399番。カンガルーのははおやは、おなかの pouch であかちゃんをそだてる。ふくろからかおだけだすすがたがあいらしい。
400番。イギリスのつうかは pound で、1枚のコインにじょおうのよこがおがきざまれていた。おもさのたんいでもある。
401番。かれのサーブはチームいちばん powerful で、レシーブのうでがしびれるほどのいりょくがある。
402番。はつもうでで、わたしはてをあわせてかぞくのけんこうを pray した。さいぜにばこのまえにはながいれつができていた。
403番。じほうはごご5時 precisely になる。びょうのずれもなく、まちじゅうのスピーカーがどうじにひびく。
404番。にっぽんには47のとどうふ prefecture があり、それぞれにちじとぎかいがおかれている。
405番。あしたのプレゼンにむけて、しりょうを prepare し、すがたみのまえで3回とおしれんしゅうをした。
