406番。ほしかったスニーカーの price が、セールで8000円から5000円にさがっていた。そっけつだった。
407番。どうわの prince は、ガラスのくつをてがかりに、しろでおどったむすめをくにじゅうさがしまわる。
408番。どくしょかんそうぶんコンクールでさいゆうしゅうの prize にえらばれ、しょうじょうととしょカード1まんえんふんをもらった。
409番。このこうじょうでは、1日に10まんこのチョコレートかしを produce し、ぜんこくのコンビニへしゅっかしている。
410番。あたらしい product のはっぴょうかいで、しゃちょうは「10年のかいはつのけっしょうです」とちいさなきかいをかかげた。
411番。ゲームかいしゃの programmer は、キャラクターのうごきを1ぎょうずつコードでかいてつくっているとはなしてくれた。
412番。げきでつかうおうかんの prop は、あつがみにきんのおりがみをはってつくった。きゃくせきからはほんものにみえたらしい。
413番。いもうとがほじょわなしでじてんしゃにのれたにち、おしえたわたしまで proud なきもちでむねがいっぱいになった。
414番。ドアに「 pull 」とかいてあったのにおしてしまい、ガタンとおとだけがひびいてひらかなかった。
415番。あかちゃんがねているへやでは、かぞくみんなが quietly にあるき、テレビのおんりょうも2つさげる。
416番。えいごのじゅぎょうはまいかい、たんごの quiz からはじまる。10問なか8問せいかいしないとついしになる。
417番。ていでんのよる、でんちしきの radio をつけると、ニュースのこえがくらやみのへやにながれてこころづよかった。
418番。ゆうだちのあと、そらにおおきな rainbow がかかり、7色のアーチががっこうのまうえまでのびていた。
419番。としょかんのいりぐちにはかいだんのよこに ramp があり、くるまいすやベビーカーでもだんさなくいれる。
420番。しゅうぎょうのチャイムが rang したしゅんかん、きょうしつのそらきがゆるみ、いっせいにつくえをかたづけるおとがはじまった。
421番。あさの10分間 reading のじかんは、きょうしつぜんたいがしずまり、ページをめくるおとだけがきこえる。
422番。20年ぶりのどうそうかいでも、はははきゅうゆうをいっしゅんで recognize した。「おもかげはかわらないのよ」とわらった。
423番。いしゃからは、よるふかしをやめて regular なせいかつをおくるようにいわれた。ねるじこくをまいにちそろえるのだ。
424番。テストがぜんぶおわったよるは、ゆぶねにながくつかって relax した。かたのちからがぬけていくのがわかった。
425番。つりあげたちいさなさかなは、はりをはずしてそっとかわへ release した。おおきくなってまたあおう。
426番。たいようこうやふうりょくのような renewable なエネルギーは、つかってもたいようとかぜがあるかぎりつきることがない。
427番。しょうたいじょうをおくって1週間、ぜんいんから「いきます」の reply がとどき、ようやくにんずうがかくていした。
428番。たいふうのちゅうけいで、 reporter がかぜにあおられながら、かいがんのようすをカメラにむかってつたえていた。
429番。にっぽんはせきゆなどの resource のたいはんをゆにゅうにたよっていて、タンカーがまいにちちゅうとうからはこんでくる。
430番。かいぬしはペットのいっしょうに responsible だ。かわいだけではすまない、10年いじょうつづくやくそくになる。
431番。とざんのとちゅう、みはらしのよいいわばで10分の rest をとり、すいとうのおちゃでのどをうるおした。
432番。もしの result がかえってきた。はんていはBだったが、にがてだったすうがくがへいきんをこえていた。
433番。ダンスのれんしゅうでは、まずてびょうしで rhythm をつかんでから、あしのステップをあわせていく。
434番。そのじつぎょうかは rich になってもつうきんでんしゃをつかいつづけ、「おかねのつかいどころはべつにある」とかたった。
435番。「しゅくだいをいぬにたべられた」といういいわけは ridiculous にきこえたが、ほんとうにかみくずがのこっていた。
436番。ははのひだりての ring は、けっこんのときにちちがおくったもので、20年たったいまもまいにちひかっている。
437番。クリスマスには、まるごとのチキンを2時間かけて roast する。かわがパリッといろづいたらかんせいだ。
438番。ぼくじょうのたいけんで、はじめてうまに rode した。あるくたびにからだがじょうげにゆれ、しせんのたかさにおどろいた。
439番。 Roman のじだいにつくられたすいどうばしは、2000年たったいまもスペインのまちにそびえている。
440番。イタリアのしゅと Rome には、コロッセオなどこだいのいせきがまちのあちこちにのこっている。
441番。ははのひに、まっかな rose を1本かってわたした。とげのところはリボンでまいてもらった。
442番。まんげつのよる、そらにうかぶ round ながつをみて、おとうとは「ボールみたい」とゆびをさした。
443番。かふんのきせつは、めのかゆみと runny なはなになやまされ、ポケットティッシュがてばなせない。
444番。ペットとのわかれの sadness は、じかんがたってもきゅうにこみあげてくることがある。
445番。ヘルメットをかぶり、あかるいみちをえらんでかえる。よるのじてんしゃは、 safe なこうどうのつみかさねがいのちをまもる。
446番。まいごになったこは、30分のちにかかりいんにつれられて safely におやのもとへもどった。
447番。ゆうしょくの salad は、レタスとトマトときゅうりをきざんで、ドレッシングはたべるちょくぜんにかける。
448番。デパートのふゆの sale では、コートがはんがくになり、かいてんまえからいりぐちにぎょうれつができていた。
449番。スイカにひとつまみの salt をかけると、ふしぎとあまみがひきたつ。そぼじきでんのたべかただ。
450番。ドアのかげから「わっ!」ととびだしていもうとを scare したら、なかれてしまい、ははにしかられた。
