451番。おばけやしきのでぐちで、おとうとは scared のあまりわたしのそでをにぎりしめたまま、しばらくはなさなかった。
452番。そのえいがは scary すぎて、みおわったよるはトイレにいくのにもゆうきがいった。
453番。れっしゃのまどからみえる scenery は、ビルまちからでんえん、やがてかいがんせんへとうつりかわっていった。
454番。しゅうがくりょこうの schedule では、2日めのごぜんがはんべつこうどう、ごごはぜんいんでてらのけんがくになっている。
455番。ぜんはんしゅうりょうじてんの score は2つい2のどうてん。しょうぶはこうはんの45分にもちこされた。
456番。こうえんのちゅうおうにある sculpture は、きょだいないしからほりだされたぼしのぞうで、だいざにさくしゃのめいがある。
457番。なくしたイヤホンをもとめて、へやなかを1時間 search した。けっきょく、せんたくまえのポケットからでてきた。
458番。アサガオの seed を5月にまくと、なつやすみにはまいあさ、むらさきやあおのはながさくようになった。
459番。かれは「へいきだよ」とわらったが、こえがちいさくて、ほんとうはつらいように seem した。
460番。ぶかつの senior たちがいんたいするにち、こうはいぜんいんでしきしをわたし、さいごのミーティングはなみだでおわった。
461番。いぬのきゅうかくはにんげんのすうせんばいともいわれ、においの sense ではにんはとてもかなわない。
462番。ごみはもえるものとプラスチックに separate して、それぞれきめられたようびにだす。
463番。 seventeenth せいきのにっぽんはえどじだいのはじまりにあたり、1600年だいのまちやかいどうがせいびされていった。
464番。ことしのふゆは severe なさむさがつづき、すいどうかんのとうけつでだんすいするいえがあいついだ。
465番。えんてんかのこうえんで、おおきなきの shade にはいると、たいかんのおんどが5どはさがったきがした。
466番。ドレッシングはあぶらとすがぶんりしているので、つかうまえによく shake してからかける。
467番。ほんやのしんかんの shelf に、ずっとまっていたぞくへんがひらづみされていて、まよわずレジへもっていった。
468番。みがきあげたかわぐつは shiny で、つまさきにまどのひかりがうつりこむほどだった。
469番。みなとにはぜんちょう300メートルの ship がていはくしていて、コンテナがクレーンでつぎつぎとつみこまれていた。
470番。「よるふかしは shouldn't だよ」とはははいうが、そのはははしんやドラマをまいしゅうかかさずみている。
471番。ホームのはじでころびそうなこをみて、えきいんが「あぶない!」と shout し、まわりのおとながかけよった。
472番。ぶかつのあと、あせをながしにあつい shower をあびると、つかれがはんぶんくらいおゆといっしょにながれていく。
473番。きょうふうでまどがバタンと shut して、そのおとにきょうしつなかがいっせいにふりかえった。
474番。テストはんいのひろさをみて、かれはふかい sigh をひとつつき、それでもペンをにぎりなおした。
475番。きょうとでのじゆうこうどうは、はんごとに sightseeing のけいかくをたて、きよみずでらときんかくじを1日でまわった。
476番。わたしとしんゆうはこのみがとても similar で、べつべつにかったふでばこがいろちがいのおなじしょうひんだったこともある。
477番。えいごのてがみのいちばんさいごには「 sincerely 」とかく。にほんごのてがみの「けいぐ」にあたるむすびのことばだ。
478番。あさのきょうしつに、おんがくしつからがっしょうぶの singing がきこえてくる。さんぶがっしょうのハーモニーがろうかにひびく。
479番。かれは single のミスもなく、50問のけいさんをぜんもんせいかいした。みなおしを3回したそうだ。
480番。やたいのしょくにんは skillful なてつきで、たこやきを2本のきりだけでくるくるとまわしつづけた。
481番。そふはしゅうじのふでを slowly にはこび、いっかくいっかくにじかんをかけて「にん」のじをかきあげた。
482番。かのじょはクラスでいちばん smart で、せんせいがだしたなんもんにも、べっかいまでそえてこたえてしまう。
483番。こうじょうのけむりとくるまのはいきガスがまざった smog がまちをおおい、とおくのビルがかすんでみえた。
484番。サンマをやいていたらだいどころに smoke がたちこめて、かさいほうちきがなるまえにあわててかんきせんをまわした。
485番。くさむらで snake がするするとからだをくねらせてよこぎり、わたしたちはあしをとめてとおりすぎるのをまった。
486番。あたらしい sneaker をおろしたにちは、わざととおまわりしてかえった。くつひもをむすぶたびにうれしくなる。
487番。せんたくのたびに sock がかたほうだけゆくえふめいになる。わがいえのななふしぎのひとつだ。
488番。きゅうじつのごご、 sofa にふかくしずみこんでほんをよんでいると、いつのまにかねむってしまっていた。
489番。つきたてのもちは soft で、のばすといくらでものび、きなこをまぶすとさいこうだった。
490番。たいいくの softball では、やきゅうよりおおきくやわらかいボールをつかい、へたなげのピッチャーからうつ。
491番。やねの solar パネルがつくったでんきで、このいえはひるまのでんりょくをほぼじきゅうしている。
492番。げんてい100個のプリンは、かいてんから30分ですべて sold されて、ケースにはかんばいのふだがたった。
493番。さいごのなんもんを solve できたのは、クラスでかのじょひとりだった。こくばんのときほうにはくしゅがおきた。
494番。ひさしぶりのすじトレのよくあさ、ふとももが sore で、かいだんをおりるたびにかおをしかめた。
495番。としょしつのへんきゃくほんは、ラベルのいろごとに sort してから、それぞれのたなにもどしていく。
