496番。さむいあさのあたたかいコーン soup は、マグカップをもつてからさきにあたためてくれる。
497番。わたりどりはふゆがちかづくと、あたたかい south のちほうへむけて、へんたいをくんでとびたっていく。
498番。にっぽんの southern のしまじま、おきなわやあまみでは、1月でもうわぎなしですごせるにちがある。
499番。たいふうはおきなわの southwest のかいじょうではっせいし、みなみとにしのまのほうがくからにっぽんれつしまへちかづいてきた。
500番。とうふもみそもしょうゆも、げんりょうはおなじ soybean だ。はたけのにくとよばれるほどたんぱくしつがほうふだ。
501番。えいごの speaker はせかいに15おくにんいるといわれ、そのたいはんはえいごをぼごとしないにんたちだ。
502番。でんわでなまえをつたえるとき、ローマじのつづりを1もじずつ spell してかくにんしてもらった。
503番。カレーは spoon ですくってたべる。ふくじんづけけまでのこさずあつめられる、まるいくぼみがべんりだ。
504番。おりがみは1へん15センチの square のかみで、4つのかくとへんのながさがすべてひとしい。
505番。まくがあがり、しょうめいをあびた stage にたつと、きゃくせきはくらくてほとんどみえなかった。
506番。エレベーターがてんけんなかで、20階まで stair であった。さいごの5階ふんはむごんになった。
507番。せかいではいまも、しょくりょうふそくによる starvation でおおくのこどものいのちがうしなわれている。
508番。しんがっきのまえに stationery をそろえた。ノート5冊、ペン3本、けしゴム2個でせんえんちょうどだった。
509番。さむいよるの stew は、にくとじゃがいもをことことにこみんで、とろみのあるルーがからだをあたためてくれる。
510番。たべほうだいでちょうしにのったら、 stomach がぱんぱんになり、かえりみちはぜんかがみであるいた。
511番。かきこおりをいっきにたべたせいで stomachache になり、ほけんしつでゆたんぽをかりてあたためた。
512番。としょいいんはしゅうにいちど、ひるやすみにていがくねんむけの storytelling をする。えほんをみせながらこわいろもかえる。
513番。よなかのだいどころから strange なものおとがしておそるおそるみにいくと、ねこがとだなをひらけようとしていた。
514番。やまみちそいの stream はあさくてながれがはやく、てをひたすとなつでもきれるようにつめたかった。
515番。そのパンしょくにんは「きのうより1ミリでもうまく」をあいことばに、50年間 strive しつづけている。
516番。 stroller にのったあかちゃんが、すれちがいざまにこちらへてをふってくれて、おもわずふりかえした。
517番。そふぼはとしんのけんそうをはなれ、はたけつきのいえがある suburb にひっこした。えきまではバスで15分かかる。
518番。 subway のえきはちか3階にあり、ながいエスカレーターをおりると、トンネルをはしるでんしゃがきた。
519番。はじめてのぶんかさいライブは successful で、アンコールのこえにこたえてもう1曲えんそうした。
520番。そふはわかいごろ、せんごのしょくりょうなんで suffer したけいけんから、いまもこめつぶひとつのこさずたべる。
521番。カーテンをひらけると、あさの sunlight がへやいっぱいにさしこみ、ほこりがきらきらとまってみえた。
522番。すいへいせんにしずむ sunset がうみをオレンジいろにそめ、はまべのひとびとはみなスマホをかまえていた。
523番。たんじょうびのあさ、つくえのうえにあねからの surprise のプレゼントがおいてあった。まったくきづかなかった。
524番。そのしろはふかいほりとたかいいしがきが surround していて、てきがかんたんにはちかづけないつくりになっている。
525番。さばくでの survival には、まずみずのかくほがかかせない。にんはみずなしではすうじつしかもたない。
526番。じょうざいがにがてなおとうとは、くすりを swallow するのにみずをコップ2杯もつかう。
527番。もぎたてのももはびっくりするほど sweet で、さとうなどいれていないのにデザートそのものだった。
528番。なつのたいいくは swimming のじゅぎょうだ。25メートルをおよぎきるのが1学期のもくひょうになっている。
529番。はくぶつかんにてんじされたぶしの sword は、はがかがみのようにみがかれ、700年まえのものとはおもえなかった。
530番。ハトはへいわの symbol とされ、しきてんではしろいハトがいっせいにそらへはなたれた。
531番。このとしょかんは、バーコードをかざすだけでかしだしがおわる system になっていて、ぎょうれつができない。
532番。クラスぜんいんでおそろいの T-shirt をつくった。せなかにはぜんいんのなまえがプリントされている。
533番。アフリカさいこうほうキリマンジャロがそびえる Tanzania では、サバンナのどうぶつをみるサファリがにんきだ。
534番。リレーでバトンをおとしたとき、 teammate たちはせめるどころか「きりかえよう」とこえをかけてくれた。
535番。そつぎょうしきのとうじのとちゅう、よみあげるこえがふるえ、かのじょのほおを tear がつたった。
536番。ほんやくの technology のしんぽで、スマホをかざすだけでがいこくごのメニューがにほんごでよめるようになった。
537番。 telescope をのぞくと、にくがんではてんにしかみえないどせいに、くっきりとわがあるのがわかった。
538番。きょうのさいこう temperature は35どのよそうで、ニュースはこまめなすいぶんほきゅうをよびかけていた。
539番。3時間にこみんだにくは tender で、はしでもちあげるだけでほろりとくずれた。
540番。 Thai りょうりのみせで、トムヤムクンをちゅうもんした。つらさとすっぱさとこうそうのかおりがいちどにおしよせた。
