一《いち》 | #090 こく》(UK)の一《いち》地域《ちいき》。
一人《ひとり》 | #045 走者《そうしゃ》一人《ひとり》ひとりに大声《お
一帯《いったい》 | #028 前《えきまえ》の一帯《いったい》は焼《や》け野原
一年《いちねん》 | #264 《くにぐに》は、一年《いちねん》を通《とう》して
一文字《ひともじ》 | #035 「夢《ゆめ》」と一文字《ひともじ》。<callig
一日《ついたち》 | #183 《しょう》1から一日《ついたち》も欠《か》かさず
一本《いっぽん》 | #271 線《ほじょせん》一本《いっぽん》に気《き》づいた
一番奥《いちばんおく》 | #199 際《まどぎわ》の一番奥《いちばんおく》、桜《さくら》の
一発《いっぱつ》 | #156 弟《おとうと》の一発《いっぱつ》ギャグに家族全員
一発勝負《いっぱつしょうぶ》 | #285 ら終《お》わりの一発勝負《いっぱつしょうぶ》。32校《こう》
一語《いちご》 | #281 く》クラスがこの一語《いちご》をどう表現《ひょ
一辺《いっぺん》 | #022 の<base>は一辺《いっぺん》230メートルの
一部分《いちぶぶん》 | #241 区切《くぎ》った一部分《いちぶぶん》。
七夕《たなばた》 | #305 七夕《たなばた》の短冊《たんざく
三日間《みっかかん》 | #261 っか》になって、三日間《みっかかん》ヒリヒリし続《つ
上《のぼ》 | #274 段《かいだん》の上《のぼ》り下《くだ》りで
上下関係《じょうげかんけい》 | #110 上下関係《じょうげかんけい》
上機嫌《じょうきげん》 | #127 上機嫌《じょうきげん》の
上達《じょうたつ》 | #135 上達《じょうたつ》する
下絵《したえ》 | #279 画《へきが》は、下絵《したえ》・色《いろ》塗《
不公平《ふこうへい》 | #292 不公平《ふこうへい》な
不利《ふり》 | #008 vantage(不利《ふり》)の対《つい》。
不可能《ふかのう》 | #133 不可能《ふかのう》な
不安《ふあん》 | #140 不安《ふあん》
不明《ふめい》 | #288 不明《ふめい》の
不調《ふちょう》 | #262 不調《ふちょう》
不運《ふうん》 | #166 lucky = 不運《ふうん》な。
世代《せだい》 | #120 父母《そふぼ》の世代《せだい》は、戦後《せんご
世界最大《せかいさいだい》 | #144 ブラジルには世界最大《せかいさいだい》の日《ひ》系《け
世界記録《せかいきろく》 | #198 いすのランナーが世界記録《せかいきろく》に挑《いど》む。
世界陸上《せかいりくじょう》 | #191 世界陸上《せかいりくじょう》
両国《りょうごく》 | #029 ちゅうおう》には両国《りょうごく》の国旗《こっき》
並《な》 | #301 台風《たいふう》並《な》みの<wind>
並べ替《ならべか》 | #053 ｜並べ替《ならべか》える
並行《へいこう》 | #198 arallel(並行《へいこう》)+ Olymp
中断《ちゅうだん》 | #023 中断《ちゅうだん》した
中継《ちゅうけい》 | #229 きょうそう》。「中継《ちゅうけい》」の意味《いみ》
中華街《ちゅうかがい》 | #048 浜《よこはま》の中華街《ちゅうかがい》では、店先《みせ
丸写《まるうつ》 | #271 丸写《まるうつ》しする
主催《しゅさい》 | #019 主催《しゅさい》する
主催者《しゅさいしゃ》 | #129 家庭《かてい》・主催者《しゅさいしゃ》
乗り越《のりこ》 | #195 ｜乗り越《のりこ》える
乗り降《のりお》 | #038 も濡《ぬ》れずに｜乗り降《のりお》りできるよう、家
九州《きゅうしゅう》 | #287 月《こんげつ》は九州《きゅうしゅう》の温泉《おんせん
乱《みだ》 | #232 ょうれつ》はなぜ乱《みだ》れないか」。3週
乱暴《らんぼう》 | #254 乱暴《らんぼう》な
予告《よこく》 | #238 予告《よこく》
予習《よしゅう》 | #309 動画《どうが》で予習《よしゅう》した。
争《あらそ》 | #043 《ゆうしょう》を争《あらそ》う大会《たいかい
事務員《じむいん》 | #214 事務員《じむいん》
二次方程式《にじほうていしき》 | #271 二次方程式《にじほうていしき》の応用問題《おう
五分五分《ごぶごぶ》 | #278 が、今《いま》は五分五分《ごぶごぶ》だ。
五感《ごかん》 | #263 五感《ごかん》の嗅覚《きゅうか
交差点《こうさてん》 | #005 交差点《こうさてん》で車同士《くるま
交換留学《こうかんりゅうがく》 | #002 学《だいがく》の交換留学《こうかんりゅうがく》で、来月《らいげ
交流《こうりゅう》 | #052 うがくせい》との交流《こうりゅう》で実感《じっかん
交流会《こうりゅうかい》 | #193 りを招《まね》く交流会《こうりゅうかい》を<organi
交通事故《こうつうじこ》 | #005 ident = 交通事故《こうつうじこ》。
人前《ひとまえ》 | #044 に、兄《あに》は人前《ひとまえ》で話《はな》すの
人混《ひとご》 | #165 祭《まつ》りの人混《ひとご》みで弟《おとうと
人見知《ひとみし》 | #254 人見知《ひとみし》りする性格《せい
人間関係《にんげんかんけい》 | #056 続《せつぞく》。人間関係《にんげんかんけい》の「縁《へり》」
人類《じんるい》 | #133 ん》前《まえ》、人類《じんるい》が月《がつ》に立
今大会《こんたいかい》 | #252 <shot>は、今大会《こんたいかい》のベストゴールと
今後《こんご》 | #094 しめ》しながら、今後《こんご》の進路《しんろ》
仕込《しこ》 | #142 かいてんまえ》の仕込《しこ》みの話《はなし》
付き合《つきあ》 | #170 は10年《ねん》｜付き合《つきあ》った恋人《こいび
代《か》 | #095 きなかったので、代《か》わりに手紙《てが
仰向《あおむ》 | #104 》を抜《ぬ》いて仰向《あおむ》けになると、体《
企業《きぎょう》 | #185 企業《きぎょう》
休息《きゅうそく》 | #041 休息《きゅうそく》
会計《かいけい》 | #192 会計《かいけい》
会話《かいわ》 | #048 hinese>の会話《かいわ》が聞《き》こえ、
伝記《でんき》 | #286 伝記《でんき》
伴奏者《ばんそうしゃ》 | #146 伴奏者《ばんそうしゃ》
似合《にあ》 | #171 チ棒《ぼう》」「似合《にあ》う」の意味《いみ
体力《たいりょく》 | #063 体力《たいりょく》
体格《たいかく》 | #020 体格《たいかく》
