々《々》 | #498 n>の島《しま》々《々》、沖縄《おきなわ
一切《いっさい》 | #612 一切《いっさい》れの
一列《いちれつ》 | #155 親子《おやこ》が一列《いちれつ》に並《なみ》いで
一品《いっぴん》 | #145 「一品《いっぴん》の料理《りょうり
一室《いっしつ》 | #018 《じゅうたく》の一室《いっしつ》。イギリスでは 
一年中《いちねんじゅう》 | #442 round = 一年中《いちねんじゅう》。
一息《ひといき》 | #040 を、彼《かれ》は一息《ひといき》で全部《ぜんぶ》
一戸建《いっこだ》 | #018 一戸建《いっこだ》て
一文《いちぶん》 | #189 く流《なが》れる一文《いちぶん》だ。
一方《いっぽう》 | #337 どちらか一方《いっぽう》
一束《ひとたば》 | #192 rewood>を一束《ひとたば》買《か》い、なた
一滴《いってき》 | #071 ん》をスポイトで一滴《いってき》ずつ<caref
一生《いっしょう》 | #430 ぬし》はペットの一生《いっしょう》に<respon
一画《いっかく》 | #481 に運《はこ》び、一画《いっかく》一画《いっかく》
一番近《いちばんちか》 | #021 距離《きょり》が一番近《いちばんちか》い。
一節《いっせつ》 | #384 。曲《きょく》の一節《いっせつ》にも使《つか》う
一組《ひとくみ》 | #366 一組《ひとくみ》
一覧《いちらん》 | #073 品《しょうひん》一覧《いちらん》の冊子《さっし》
一間《ひとま》 | #018 。6畳《じょう》一間《ひとま》に小《ちい》さな
七不思議《ななふしぎ》 | #487 わが家《いえ》の七不思議《ななふしぎ》のひとつだ。
七色《なないろ》 | #418 《あめあ》がりの七色《なないろ》の弧《こ》。
七面鳥《しちめんちょう》 | #226 七面鳥《しちめんちょう》
万個《まんこ》 | #409 日《にち》に10万個《まんこ》のチョコレート菓
万年《まんねん》 | #220 万年《まんねん》雪《ゆき》が固《
三振《さんしん》 | #544 そら》振《ふ》り三振《さんしん》で試合《しあい》
三角形《さんかくけい》 | #092 三角形《さんかくけい》
三輪車《さんりんしゃ》 | #516 三輪車《さんりんしゃ》
三部《さんぶ》 | #478 き》こえてくる。三部《さんぶ》合唱《がっしょう
上位《じょうい》 | #160 《なか》なので、上位《じょうい》2割《わり》に入
上品《じょうひん》 | #296 しんせつ》に」と上品《じょうひん》にほほえんでくれ
上履《うわば》 | #194 年《きょねん》の上履《うわば》きはもう足《あし
上級生《じょうきゅうせい》 | #460 上級生《じょうきゅうせい》
下着《したぎ》 | #281 下着《したぎ》
下級生《かきゅうせい》 | #460 下級生《かきゅうせい》
下駄箱《げたばこ》 | #305 下駄箱《げたばこ》の上《うえ》
不動産屋《ふどうさんや》 | #056 不動産屋《ふどうさんや》
不可欠《ふかけつ》 | #359 吸《こきゅう》に不可欠《ふかけつ》な気体《きたい》
不器用《ぶきよう》 | #480 不器用《ぶきよう》な
不平《ふへい》 | #106 不平《ふへい》を言《い》う
不快《ふかい》 | #269 不快《ふかい》な
不正《ふせい》 | #181 不正《ふせい》な
不潔《ふけつ》 | #588 不潔《ふけつ》な
世《よ》 | #425 な》じ語《ご》(世《よ》に放《ほうっ》つ
世代間《せだいかん》 | #214 n gap = 世代間《せだいかん》の差《さ》。
世界一《せかいいち》 | #596 979メートルと世界一《せかいいち》を誇《ほこ》るエ
両岸《りょうがん》 | #052 川《かわ》の両岸《りょうがん》を結《むす》ぶ赤
両目《りょうめ》 | #176 esight>が両目《りょうめ》とも0.3まで下
両肩《りょうかた》 | #622 相手《あいて》の両肩《りょうかた》をつけたら一本《
並《なみ》 | #155 列《いちれつ》に並《なみ》いで泳《およ》ぎ
並木《なみき》 | #035 》の桜《さくら》並木《なみき》の<beauty
並走《へいそう》 | #617 後《さいご》まで並走《へいそう》し、ゴール前《ま
中世《ちゅうせい》 | #439 中世《ちゅうせい》フランスの
中心地《ちゅうしんち》 | #379 国《ていこく》の中心地《ちゅうしんち》だった。
中東《ちゅうとう》 | #429 毎日《まいにち》中東《ちゅうとう》から運《はこ》ん
中盤《ちゅうばん》 | #164 中盤《ちゅうばん》
中都市《ちゅうとし》 | #379 には、空《そら》中都市《ちゅうとし》マチュピチュがあ
丸刈《まるがり》 | #207 翌日《よくじつ》丸刈《まるがり》りで現《あらわ》
丸枠《まるわく》 | #148 丸枠《まるわく》
丸焼《まるやき》 | #574 しゃさい》では、丸焼《まるやき》きの<turke
主将《しゅしょう》 | #068 主将《しゅしょう》
主張《しゅちょう》 | #392 itical>な主張《しゅちょう》がぶつかり、司会
主権《しゅけん》 | #133 民《こくみん》が主権《しゅけん》を持《も》つ。
主食《しゅしょく》 | #030 パンダの主食《しゅしょく》。bamboo 
乗《じょう》 | #438 乗《じょう》った
乱《らん》 | #072 carrot>を乱《らん》切《き》りにした
乳《ちち》 | #119 上《いじょう》の乳《ちち》がしぼれるそうだ
乳牛《にゅうぎゅう》 | #119 乳牛《にゅうぎゅう》・雌牛《めうし》
乳製品《にゅうせいひん》 | #059 から作《つく》る乳製品《にゅうせいひん》。
乾杯《かんぱい》 | #550 《や》いたパン。乾杯《かんぱい》の「トースト」も
予備《よび》 | #300 》の子《こ》に、予備《よび》の1個《こ》を<
予告編《よこくへん》 | #542 り、スクリーンに予告編《よこくへん》が映《うつ》ると
予報《よほう》 | #138 気象《きしょう》予報《よほう》士《さむらい》で
予定表《よていひょう》 | #454 予定表《よていひょう》
予想外《よそうがい》 | #164 ending>は予想外《よそうがい》で、最後《さいご
予感《よかん》 | #074 予感《よかん》
予洗《よせん》 | #159 ため水《みず》で予洗《よせん》いしてから流《な
予算案《よさんあん》 | #227 《らいねんど》の予算案《よさんあん》を発表《はっぴょ
二《ふた》 | #242 は真《まこと》っ二《ふた》つに割《わ》れた
二輪車《にりんしゃ》 | #590 二輪車《にりんしゃ》
二酸化炭素《にさんかたんそ》 | #359 二酸化炭素《にさんかたんそ》
二重《にじゅう》 | #479 二重《にじゅう》の
互角《ごかく》 | #256 互角《ごかく》の
交互《こうご》 | #085 》の駒《こま》を交互《こうご》に動《うご》かし
交代《こうたい》 | #010 交代《こうたい》で
交通《こうつう》 | #167 交通《こうつう》
交通手段《こうつうしゅだん》 | #565 交通手段《こうつうしゅだん》
人形《にんぎょう》 | #228 》のために、ひな人形《にんぎょう》を毎年《まいとし
人形劇《にんぎょうげき》 | #015 人形劇《にんぎょうげき》
人間性《にんげんせい》 | #260 類《じんるい》・人間性《にんげんせい》。
仏塔《ぶっとう》 | #331 に輝《かがや》く仏塔《ぶっとう》が並《なら》ぶ国
仕《つか》 | #348 神《かみ》に仕《つか》える女性《じょせ
